"","fcar","uf","munic","year","app_area_hec","Formacao Florestal","Campo Alagado e Area Pantanosa","Pastagem","Mosaico de Agricultura e Pastagem","Rio, Lago e Oceano","Cana-de-Acucar","Formacao Savanica","Soja","Fomacao Campestre","Café","Outras Lavouras Temporarias"
"1","MG-3111101-37DDE24C831A4ECAB7F1B42EFB304E64","MG",3111101,"2012",38.86,15.81,10.97,8.73,3.27,0.08,0,0,0,0,0,0
"2","MG-3127008-19E5ECA12A5F4A63A79E9F3BB0A174AC","MG",3127008,"2012",22.23,9.29,2.91,0.03,8.98,0,1.03,0,0,0,0,0
"3","MG-3127008-27159D2D7D6B4CC4908FD9474BD226CC","MG",3127008,"2012",12.25,1.34,3.7,1.3,4.25,0.65,1.02,0,0,0,0,0
"4","MG-3127008-5792C74FEADF4235ABCFC4F5FFAC56CC","MG",3127008,"2012",2.35,0,2.31,0,0.04,0,0,0,0,0,0,0
"5","MG-3127008-869F6ED85DC44EBBB187EA2F57A29293","MG",3127008,"2012",0,0,0,0.82,5.14,0,18.28,0,0,0,0,0
"6","MG-3127008-FB0EDE3FF1E043CE8AC4A52A330C901D","MG",3127008,"2012",7.19,0.44,2.78,3.68,0.04,0.25,0,0,0,0,0,0
"7","MG-3127107-023C43B1C60F4527A0FC38D94AA999C6","MG",3127107,"2012",0.72,0.41,0.3,0,0.01,0,0,0,0,0,0,0
"8","MG-3127107-039D91EAE0BD4C4BAEB19F0EC7940BB3","MG",3127107,"2012",1.69,0.25,1.32,0,0.12,0,0,0,0,0,0,0
"9","MG-3127107-1DDFCE8C3B584A109AC6CDB0B9B19168","MG",3127107,"2012",3.43,1.17,1.22,0.01,1.03,0,0,0,0,0,0,0
"10","MG-3127107-2C161535668C438EA44802670930F54C","MG",3127107,"2012",3.58,1.43,0.89,0,1.04,0,0.22,0,0,0,0,0
"11","MG-3127107-35CA20ACBAEE40C0918655CA7A462B92","MG",3127107,"2012",3.15,1.98,0.57,0,0.59,0,0,0,0,0,0,0
"12","MG-3127107-37B970FC7DA544639AB9B6BBD6EC91AC","MG",3127107,"2012",1.14,0,0.87,0.04,0.23,0,0,0,0,0,0,0
"13","MG-3127107-394138E76EE14B01BD7D04F557F2448A","MG",3127107,"2012",5.15,2.59,2.13,0.09,0.35,0,0,0,0,0,0,0
"14","MG-3127107-3AEB7E1F8142413A9E106835194667E3","MG",3127107,"2012",4.59,0.2,1.07,0.03,2.9,0.01,0.37,0,0,0,0,0
"15","MG-3127107-637632409F504878BFC7006FA10BA77C","MG",3127107,"2012",2.29,0,0.42,0.75,1.02,0,0.09,0,0,0,0,0
"16","MG-3127107-80D89C140EA64915B686ED6E6B145CC4","MG",3127107,"2012",6.71,0.09,3.91,0,2.46,0.01,0.08,0.16,0,0,0,0
"17","MG-3127107-9440F00DE058412093DBC1B6DB89036E","MG",3127107,"2012",7.05,0.63,4.29,0,2.05,0,0.08,0,0,0,0,0
"18","MG-3127107-990FD886189249C39FA4DA0ECF3BB684","MG",3127107,"2012",0.73,0,0,0,0.73,0,0,0,0,0,0,0
"19","MG-3127107-B6DB231AFFF4456E97DF8A6D3432909A","MG",3127107,"2012",2.36,0.42,0.79,0.04,1.11,0,0,0,0,0,0,0
"20","MG-3127107-DAE29DFF6AF4457B9077CABF09235C3E","MG",3127107,"2012",0,2.77,0,0,6.78,0,17.36,0,0,0,0,0
"21","MG-3127107-E2E767958AB34C46B53CDBF3DBEA02D3","MG",3127107,"2012",7.99,1.06,4.92,1.04,0.63,0.35,0,0,0,0,0,0
"22","MG-3127107-ECB798451542454B9945B283FD4AA76D","MG",3127107,"2012",25.83,1.6,6.76,0.35,16.03,0,1.09,0,0,0,0,0
"23","MG-3127107-FD4C40906A624CB7935880585B101775","MG",3127107,"2012",0,2.35,0,4.39,4.87,0,18.02,0.04,0.59,0,0,0
"24","MG-3129103-8C639A2EDE0D4B96B4022FB0CCD7AB69","MG",3129103,"2012",29.68,2.35,13.35,2.33,9.35,0.4,0,1.91,0,0,0,0
"25","MG-3133402-218B4C0ED8374D86BC99F675F98739B6","MG",3133402,"2012",65.36,23.19,20.25,6.89,11.77,1.01,1.8,0.46,0,0,0,0
"26","MG-3133402-4AE73362BD4A4D7EBCCBC18696D7A50A","MG",3133402,"2012",30.85,2.21,13.07,11.77,3.8,0,0,0,0,0,0,0
"27","MG-3133402-9D27D72BBE794B3B99EA4791A487744C","MG",3133402,"2012",12.8,0.44,1.25,8.19,2.92,0,0,0,0,0,0,0
"28","MG-3133402-A7BACB394ED7406F8112E31BFFD8F94F","MG",3133402,"2012",20.1,1.34,6.7,5.24,6.56,0.25,0,0,0,0,0,0
"29","MG-3133402-E4FA1EE74E9647E68D6ED7D7C9679F5C","MG",3133402,"2012",7.42,2.32,1.94,1.2,1.12,0.1,0,0.74,0,0,0,0
"30","MG-3134202-97522C552B144E5E98B604F8C656DCB3","MG",3134202,"2012",0.74,0.33,0.31,0,0.1,0,0,0,0,0,0,0
"31","MG-3134202-D739BEDB3C2D4750A08C8D0F72CD35ED","MG",3134202,"2012",4.41,0,1,0.23,3.18,0,0,0,0,0,0,0
"32","MG-3134202-FAB2505E01994ED684E984E35D7C51A4","MG",3134202,"2012",2.88,1.8,0.32,0,0.27,0.2,0,0.29,0,0,0,0
"33","MG-3134400-A60B4300EC284D4CB1996F82616ACB95","MG",3134400,"2012",2.49,0.36,0.05,0.3,1.78,0,0,0,0,0,0,0
"34","MG-3134400-E8C6AD63D2DE4131841BDA48263B236F","MG",3134400,"2012",14.23,0.53,0.4,4.35,8.47,0,0.49,0,0,0,0,0
"35","MG-3138625-14CF79F3BE354C9F87D3E5D9F35D377C","MG",3138625,"2012",0.84,0,0.07,0.77,0,0,0,0,0,0,0,0
"36","MG-3138625-435A0E7834F44F1FA85C0A100E360916","MG",3138625,"2012",24.73,1.48,9.18,0.04,11.98,0,1.21,0,0,0.84,0,0
"37","MG-3138625-C8C4F0706BF545468EB8FFC67E5D6D07","MG",3138625,"2012",14.35,2.19,4.83,1.21,5.71,0.11,0.29,0,0,0,0,0
"38","MG-3138625-CC66CFD271BD46E5BCFB3210DCE80691","MG",3138625,"2012",4.95,0,1.16,0.5,2.86,0,0.43,0,0,0,0,0
"39","MG-3138625-D0FBDC75DB9A434C8D3D451A725B08F5","MG",3138625,"2012",46.86,0.82,6.48,20.61,15.85,0,0,0,0,3.1,0,0
"40","MG-3138625-E29D421543904F418837B39DDC1237C1","MG",3138625,"2012",10.67,0,3.82,3.15,2.54,0,0.82,0,0,0.34,0,0
"41","MG-3138625-EB87A49230484B798FF484B1FF6A4200","MG",3138625,"2012",3.47,0.09,1.6,1.74,0.04,0,0,0,0,0,0,0
"42","MG-3138625-F57C6628922A4F53ABA3EB292E20A6D7","MG",3138625,"2012",11.87,0.81,4.15,3.03,3.34,0,0.04,0,0,0.5,0,0
"43","MG-3165107-35FB087C3923403981C4533DCC43CCBB","MG",3165107,"2012",14.18,1.27,0,0.38,12.43,0.05,0,0,0,0,0.05,0
"44","MG-3165107-76C7008B328042309A89F26F789DD095","MG",3165107,"2012",105.15,38.6,0,8.49,57.88,0.18,0,0,0,0,0,0
"45","MS-5005707-F14A9238D7F640DDA8BA7FDBFF61FFFB","MS",5005707,"2012",124.69,1.14,83.01,24.27,9.49,5.83,0,0,0.41,0,0,0.53
"46","SP-3503208-1C0244E0088B4284B9F0FBCB36128AF7","SP",3503208,"2012",0.68,0,0.45,0,0.22,0,0.01,0,0,0,0,0
"47","SP-3503208-287FBE5BAAD44905B7DCBBFBBDFE04C7","SP",3503208,"2012",0.22,0.15,0,0,0.06,0,0,0,0,0,0,0
"48","SP-3503208-3DFC0A34B4F8483AAE28367E2FECDA63","SP",3503208,"2012",4.46,0,4.03,0,0.17,0.25,0,0,0,0,0,0
"49","SP-3503208-465915E18C4940B4842D2476CA3E6E49","SP",3503208,"2012",0.52,0,0.42,0,0.11,0,0,0,0,0,0,0
"50","SP-3503208-6484191647DD4DD4ADC439A286968CF6","SP",3503208,"2012",0.6,0,0.6,0,0,0,0,0,0,0,0,0
"51","SP-3503208-882E576E5E32403BB5925FCCFD66E04A","SP",3503208,"2012",1.89,0.01,0.37,0,0.97,0,0.54,0,0,0,0,0
"52","SP-3503208-A287FFAF8AB2407C89A3BF512820FD30","SP",3503208,"2012",0.23,0,0.22,0,0.01,0,0,0,0,0,0,0
"53","SP-3503208-C75616B7833E4963B2FE16DC4AE895EA","SP",3503208,"2012",12.17,3.69,2.41,0,4.22,0.99,0.87,0,0,0,0,0
"54","SP-3505500-086D12B4474F4D0C90B881E850AD68A8","SP",3505500,"2012",6.53,1.72,1.22,0,2.94,0,0.65,0,0,0,0,0
"55","SP-3505609-7A1BD2D0BCC648AFACDFE6419EEB8BA2","SP",3505609,"2012",0,0,0,0,1.09,0.19,91.98,0,0,0,0,0.58
"56","SP-3505609-DBB12C3C0B98414C9B581A1C1C19CA3B","SP",3505609,"2012",2.13,1.21,0.15,0,0.25,0.32,0.07,0,0,0,0,0
"57","SP-3505609-E1A757307CC44C67AB8BAEC0ACFA5A18","SP",3505609,"2012",0,0,0,0,0.51,0,73.72,0,0,0,0,0
"58","SP-3510104-77729E533B1C404C887B08A33DC16D13","SP",3510104,"2012",3.05,0.94,0,0,1.56,0,0.55,0,0,0,0,0
"59","SP-3510708-10E4AD3602954083867326F1AF2D0D35","SP",3510708,"2012",0.47,0,0,0.08,0.4,0,0,0,0,0,0,0
"60","SP-3510708-5FA2AF2250644624A5FA6C6C30B6421E","SP",3510708,"2012",0,11.95,6.46,2.97,14.16,0,61.27,0,0,0,0,0
"61","SP-3512001-F45998EAA14042DDA440DC271FF228BC","SP",3512001,"2012",7.21,0.35,3.48,0,3.28,0,0.11,0,0,0,0,0
"62","SP-3514007-B66C8FCCCC7E4493A5B40502B6BEC627","SP",3514007,"2012",28.98,11.72,2.09,0.06,10.62,0,4.28,0,0,0,0,0.21
"63","SP-3514007-D09EB46840C24FC9B12F5C39C495707C","SP",3514007,"2012",12.83,7.1,0,0,4.32,0,1.4,0,0,0,0,0.01
"64","SP-3514601-11A7677D96A843A9847710F011126CE0","SP",3514601,"2012",0.48,0,0,0,0.47,0,0.01,0,0,0,0,0
"65","SP-3514601-28EB3D2FF85940FEAD2B28FEE6F9F9C9","SP",3514601,"2012",0.45,0,0.06,0,0.34,0,0,0,0,0,0,0.06
"66","SP-3518602-06C22ADABA4C42D9A7D0E3130F943869","SP",3518602,"2012",38.14,11.64,3.63,0,12.68,0.38,9.51,0,0,0,0,0.29
"67","SP-3518602-57FFF6E3A38B47B3979ED422D9637683","SP",3518602,"2012",5.16,0,2.73,0,1.75,0,0.62,0,0,0,0,0.06
"68","SP-3518602-748DAA41686A4614B52CDBC091FC1C00","SP",3518602,"2012",8.85,5.57,0.97,0,1.97,0,0.23,0,0,0,0,0.11
"69","SP-3518602-81734FC125D7481A88B862DF1D04DE15","SP",3518602,"2012",29.02,11.56,14.39,0,1.61,0.57,0.73,0,0,0,0,0.16
"70","SP-3518602-86BC2C7EFEF146E29C8674243E2C4D9A","SP",3518602,"2012",6.77,1.03,0,0,3.73,0,2,0,0,0,0,0
"71","SP-3518602-8B3A6161519A44FEA5303BA48F4D1A7B","SP",3518602,"2012",27.46,2.98,4.21,0,19.14,0,0.65,0,0,0,0,0.47
"72","SP-3518602-A6B30ADC4EE04E9EAA0925E2AA6DE956","SP",3518602,"2012",12.62,1.06,1.8,0,9.12,0,0.54,0,0,0,0,0.09
"73","SP-3518602-B5EAD3959D3B4FD18C7171A20CC2F4C8","SP",3518602,"2012",2.84,0.39,0,0,2.26,0,0.19,0,0,0,0,0
"74","SP-3518602-F476144FD55E4A22B9A170593786DC8F","SP",3518602,"2012",7.67,0.93,0,0,5.48,0,1.26,0,0,0,0,0
"75","SP-3518859-40FA7CD0173340A1BB2183E96B33BA8C","SP",3518859,"2012",16.28,10.28,4.3,0,1.25,0.03,0.21,0,0,0,0,0.21
"76","SP-3521903-76C1E7D3340547CBA5822B0C071BA51E","SP",3521903,"2012",24.53,2.36,5.69,0,15.64,0,0.85,0,0,0,0,0
"77","SP-3521903-B5C1D5D919494A468180C84FE4B26CC7","SP",3521903,"2012",9.8,2.92,1.18,0,5.35,0,0.35,0,0,0,0,0
"78","SP-3521903-BA9A0D49AD1E4F8E90188416817A5DC2","SP",3521903,"2012",10.21,9.89,0,0,0.32,0,0,0,0,0,0,0
"79","SP-3521903-E00526DDA4BA4D31BF90F8449B7E9941","SP",3521903,"2012",9.28,2.33,2.89,0,3.99,0,0.06,0,0,0,0,0
"80","SP-3521903-E107AA621BC84815B6EED997D01010E8","SP",3521903,"2012",1.94,0,0.6,0.04,1.29,0,0,0,0,0,0,0
"81","SP-3522703-4744A99A90614109A09FBA291D6A206A","SP",3522703,"2012",116.4,63.12,16.54,0,25.92,0,10.25,0,0,0,0,0.57
"82","SP-3522703-D63E157FE78345B89EC2098A7334BDBD","SP",3522703,"2012",0,8.84,0.67,11.21,30.66,0,57.72,0,0,0,0,0
"83","SP-3524204-2BF66C8B164B499D8F010053E0860443","SP",3524204,"2012",12.99,7.78,0.84,0,0.3,0,3.72,0,0,0,0,0.36
"84","SP-3524303-03046467329F40E3BD3DFC1A739DB165","SP",3524303,"2012",1.51,0,0.07,0,1.43,0,0,0,0,0,0,0
"85","SP-3524303-0DC942AABD574146A51CD1A38C3B9070","SP",3524303,"2012",0,0,0,0.01,7.42,0,14.84,0,0,0,0,0
"86","SP-3524303-118775A2CCDD4FBE94C84767AFF917A8","SP",3524303,"2012",17.16,11.2,0.75,0,2.51,1.48,0.98,0,0,0,0,0.24
"87","SP-3524303-1739C594B4F540C59AF7B47ADBB2D62D","SP",3524303,"2012",70.22,44.85,17.91,0,3.3,2.74,0.88,0,0,0,0,0.27
"88","SP-3524303-21656AD4FE944F7CB66011E4418F4187","SP",3524303,"2012",10.39,3.25,0.43,0,6.32,0,0.19,0,0,0,0,0.2
