"","fcar","uf","munic","year","farm_area_hec","Formacao Florestal","Formacao Savanica","Campo Alagado e Area Pantanosa","Pastagem","Mosaico de Agricultura e Pastagem","Outras Areas nao Vegetadas","Rio, Lago e Oceano","Cana-de-Acucar","Outras Lavouras Temporarias","Soja","Fomacao Campestre","Café","Citrus","Silvicultura","Area Urbanizada"
"1","MG-3111101-37DDE24C831A4ECAB7F1B42EFB304E64","MG",3111101,"2012",479.78,20.37,25.45,13.11,379.09,41.58,0.09,0.08,0,0,0,0,0,0,0,0
"2","MG-3127008-19E5ECA12A5F4A63A79E9F3BB0A174AC","MG",3127008,"2012",464.86,34.97,0,9.73,3.07,104.79,0,1.09,310.79,0.42,0,0,0,0,0,0
"3","MG-3127008-27159D2D7D6B4CC4908FD9474BD226CC","MG",3127008,"2012",108.61,2.77,0,3.7,6.76,17.65,0,0.65,77.09,0,0,0,0,0,0,0
"4","MG-3127008-5792C74FEADF4235ABCFC4F5FFAC56CC","MG",3127008,"2012",107.39,0,0,15.55,6.17,5.8,0,0,74.49,0,5.38,0,0,0,0,0
"5","MG-3127008-869F6ED85DC44EBBB187EA2F57A29293","MG",3127008,"2012",24.24,0,0,0,0.82,5.14,0,0,18.28,0,0,0,0,0,0,0
"6","MG-3127008-FB0EDE3FF1E043CE8AC4A52A330C901D","MG",3127008,"2012",89.4,3.13,0,8.75,70.48,0.44,0,6.59,0,0,0,0,0,0,0,0
"7","MG-3127107-023C43B1C60F4527A0FC38D94AA999C6","MG",3127107,"2012",66.51,0.54,0,0.7,64.73,0.53,0,0,0,0,0,0,0,0,0,0
"8","MG-3127107-039D91EAE0BD4C4BAEB19F0EC7940BB3","MG",3127107,"2012",296.58,1.81,4.56,3.25,15.07,45.38,0,0,226.52,0,0,0,0,0,0,0
"9","MG-3127107-1DDFCE8C3B584A109AC6CDB0B9B19168","MG",3127107,"2012",222.07,8.49,0,4,66.37,25.03,0,0,114.23,0,3.95,0,0,0,0,0
"10","MG-3127107-2C161535668C438EA44802670930F54C","MG",3127107,"2012",72.32,2.14,0,1.68,0,4.69,0,0,62.13,0,1.68,0,0,0,0,0
"11","MG-3127107-35CA20ACBAEE40C0918655CA7A462B92","MG",3127107,"2012",119.36,3.14,0,1.37,6.44,11.99,0,0,96.42,0,0,0,0,0,0,0
"12","MG-3127107-37B970FC7DA544639AB9B6BBD6EC91AC","MG",3127107,"2012",53.29,0,0,1.13,51.38,0.7,0,0,0.07,0,0,0,0,0,0,0
"13","MG-3127107-394138E76EE14B01BD7D04F557F2448A","MG",3127107,"2012",222.04,7.73,0,9.59,94.42,26.46,0,0,83.83,0,0,0,0,0,0,0
"14","MG-3127107-3AEB7E1F8142413A9E106835194667E3","MG",3127107,"2012",341.28,42.8,0,8.86,32.1,57.38,0,0.84,199.26,0,0.05,0,0,0,0,0
"15","MG-3127107-637632409F504878BFC7006FA10BA77C","MG",3127107,"2012",38.56,1.18,0,0.51,1.48,9.87,0,0,25.52,0,0,0,0,0,0,0
"16","MG-3127107-80D89C140EA64915B686ED6E6B145CC4","MG",3127107,"2012",102.43,0.52,0.34,6.35,0.74,17.43,0,0.5,76.54,0,0,0,0,0,0,0
"17","MG-3127107-9440F00DE058412093DBC1B6DB89036E","MG",3127107,"2012",269.79,9.13,0.59,9.5,38.61,58.43,0,0,152.1,0.25,1.18,0,0,0,0,0
"18","MG-3127107-990FD886189249C39FA4DA0ECF3BB684","MG",3127107,"2012",63.28,3.4,0,0,0.26,10.88,0,0,48.75,0,0,0,0,0,0,0
"19","MG-3127107-B6DB231AFFF4456E97DF8A6D3432909A","MG",3127107,"2012",124.19,0.51,0.17,0.86,27.55,5.06,0,0,90.04,0,0,0,0,0,0,0
"20","MG-3127107-DAE29DFF6AF4457B9077CABF09235C3E","MG",3127107,"2012",26.91,2.77,0,0,0,6.78,0,0,17.36,0,0,0,0,0,0,0
"21","MG-3127107-E2E767958AB34C46B53CDBF3DBEA02D3","MG",3127107,"2012",220.33,15.33,0,10.12,12.4,16.84,0,0.76,79.22,0,85.66,0,0,0,0,0
"22","MG-3127107-ECB798451542454B9945B283FD4AA76D","MG",3127107,"2012",316.86,11.68,0,41.93,6.87,132.27,0,0,97.64,23.62,2.86,0,0,0,0,0
"23","MG-3127107-FD4C40906A624CB7935880585B101775","MG",3127107,"2012",30.26,2.35,0.04,0,4.39,4.87,0,0,18.02,0,0.59,0,0,0,0,0
"24","MG-3129103-8C639A2EDE0D4B96B4022FB0CCD7AB69","MG",3129103,"2012",366.41,19.12,10.88,18.86,181.25,133.77,0,2.54,0,0,0,0,0,0,0,0
"25","MG-3133402-218B4C0ED8374D86BC99F675F98739B6","MG",3133402,"2012",591.48,93.93,9.01,20.26,34.59,70.76,0,1.01,361.24,0.67,0,0,0,0,0,0
"26","MG-3133402-4AE73362BD4A4D7EBCCBC18696D7A50A","MG",3133402,"2012",269.84,21.11,7.37,15.37,205.86,20.13,0,0,0,0,0,0,0,0,0,0
"27","MG-3133402-9D27D72BBE794B3B99EA4791A487744C","MG",3133402,"2012",229.95,21.12,0,1.37,193.69,13.76,0,0,0,0,0,0,0,0,0,0
"28","MG-3133402-A7BACB394ED7406F8112E31BFFD8F94F","MG",3133402,"2012",560.24,71.65,0.09,12.84,418.91,53.87,0,1.44,0.01,0,1.43,0,0,0,0,0
"29","MG-3133402-E4FA1EE74E9647E68D6ED7D7C9679F5C","MG",3133402,"2012",149.15,13.11,5.48,1.96,92.92,33.99,0,0.1,1.59,0,0,0,0,0,0,0
"30","MG-3134202-97522C552B144E5E98B604F8C656DCB3","MG",3134202,"2012",119.4,11.74,1.87,0.78,97.58,7.43,0,0,0,0,0,0,0,0,0,0
"31","MG-3134202-D739BEDB3C2D4750A08C8D0F72CD35ED","MG",3134202,"2012",152.94,19.35,10.63,2.13,13.01,107.78,0,0,0,0.04,0,0,0,0,0,0
"32","MG-3134202-FAB2505E01994ED684E984E35D7C51A4","MG",3134202,"2012",146.82,11.1,3.91,0.67,117.64,11.55,0,0.34,0,1.6,0,0,0,0,0,0
"33","MG-3134400-A60B4300EC284D4CB1996F82616ACB95","MG",3134400,"2012",95.93,0.83,0.39,1.01,17.69,23.63,0,0,52.37,0,0,0,0,0,0,0
"34","MG-3134400-E8C6AD63D2DE4131841BDA48263B236F","MG",3134400,"2012",339.45,1.73,0,1.11,153.26,36.21,0,0,146.06,0,1.1,0,0,0,0,0
"35","MG-3138625-14CF79F3BE354C9F87D3E5D9F35D377C","MG",3138625,"2012",34.29,0,0,0.17,9.84,0.09,0,0.17,24.03,0,0,0,0,0,0,0
"36","MG-3138625-435A0E7834F44F1FA85C0A100E360916","MG",3138625,"2012",177.01,1.48,0,9.56,5.3,59.45,0,0,100.38,0,0,0.84,0,0,0,0
"37","MG-3138625-C8C4F0706BF545468EB8FFC67E5D6D07","MG",3138625,"2012",276.25,33.43,16.15,6.81,64.11,34.92,0,0.18,120.66,0,0,0,0,0,0,0
"38","MG-3138625-CC66CFD271BD46E5BCFB3210DCE80691","MG",3138625,"2012",101.13,0,0,1.23,2.35,8.45,0,0,89.1,0,0,0,0,0,0,0
"39","MG-3138625-D0FBDC75DB9A434C8D3D451A725B08F5","MG",3138625,"2012",190.77,1.11,0.29,7.49,159.13,19.56,0,0,0,0,0,3.21,0,0,0,0
"40","MG-3138625-E29D421543904F418837B39DDC1237C1","MG",3138625,"2012",194.79,21.91,0,4.13,31.68,15.8,0,0,120.93,0,0,0.34,0,0,0,0
"41","MG-3138625-EB87A49230484B798FF484B1FF6A4200","MG",3138625,"2012",212.22,0.11,3.39,2.43,31.33,10.13,0,0,164.81,0,0,0,0,0,0,0
"42","MG-3138625-F57C6628922A4F53ABA3EB292E20A6D7","MG",3138625,"2012",118.55,11.29,0,7.63,21.24,19.63,0,0,58.1,0,0,0.67,0,0,0,0
"43","MG-3165107-35FB087C3923403981C4533DCC43CCBB","MG",3165107,"2012",155.9,11.22,0,0,54.62,64.59,0,0.3,0,0,0,0,18.34,6.84,0,0
