"","fcar","uf","munic","year","farm_area_hec","Formacao Florestal","Formacao Savanica","Campo Alagado e Area Pantanosa","Pastagem","Mosaico de Agricultura e Pastagem","Outras Areas nao Vegetadas","Rio, Lago e Oceano","Cana-de-Acucar","Soja","Outras Lavouras Temporarias","Café","Fomacao Campestre","Citrus","Silvicultura","Area Urbanizada","Outras Lavouras Perenes"
"1","MG-3111101-37DDE24C831A4ECAB7F1B42EFB304E64","MG",3111101,"2021",479.78,23.47,25.35,5.89,369.04,55.85,0.1,0.08,0,0,0,0,0,0,0,0,0
"2","MG-3127008-19E5ECA12A5F4A63A79E9F3BB0A174AC","MG",3127008,"2021",464.86,33.68,0,11.58,5.32,82.26,0,0,238.26,87.13,6.64,0,0,0,0,0,0
"3","MG-3127008-27159D2D7D6B4CC4908FD9474BD226CC","MG",3127008,"2021",108.61,2.35,0,1.18,41.33,61.92,0,0.9,0.01,0.92,0,0,0,0,0,0,0
"4","MG-3127008-5792C74FEADF4235ABCFC4F5FFAC56CC","MG",3127008,"2021",107.39,0,0,14.85,0.78,12.42,0,0,79.33,0,0,0,0,0,0,0,0
"5","MG-3127008-869F6ED85DC44EBBB187EA2F57A29293","MG",3127008,"2021",24.24,0,0,0,0.34,2.77,0,0,21.14,0,0,0,0,0,0,0,0
"6","MG-3127008-FB0EDE3FF1E043CE8AC4A52A330C901D","MG",3127008,"2021",89.4,2.93,0,9,2.98,52.59,0,0.98,20,0,0.92,0,0,0,0,0,0
"7","MG-3127107-023C43B1C60F4527A0FC38D94AA999C6","MG",3127107,"2021",66.51,0.63,0,0.7,0.92,64.24,0,0,0.01,0,0,0,0,0,0,0,0
"8","MG-3127107-039D91EAE0BD4C4BAEB19F0EC7940BB3","MG",3127107,"2021",296.58,4.37,2.03,3.15,0.55,93.42,0.12,0,164.81,22.07,6.07,0,0,0,0,0,0
"9","MG-3127107-1DDFCE8C3B584A109AC6CDB0B9B19168","MG",3127107,"2021",222.07,8.4,0,4.36,41.12,51.69,0,0,26.37,90.14,0,0,0,0,0,0,0
"10","MG-3127107-2C161535668C438EA44802670930F54C","MG",3127107,"2021",72.32,1.89,0,1.43,1.15,5.8,0,0,59.65,2.4,0,0,0,0,0,0,0
"11","MG-3127107-35CA20ACBAEE40C0918655CA7A462B92","MG",3127107,"2021",119.36,3.47,0,1.48,10.78,2.22,0,0,101.41,0,0,0,0,0,0,0,0
"12","MG-3127107-37B970FC7DA544639AB9B6BBD6EC91AC","MG",3127107,"2021",53.29,0,0,0,1.7,2.06,0,0,49.52,0,0,0,0,0,0,0,0
"13","MG-3127107-394138E76EE14B01BD7D04F557F2448A","MG",3127107,"2021",222.04,7.04,0,8.67,78.62,41.95,0,0,76.26,5.04,4.46,0,0,0,0,0,0
"14","MG-3127107-3AEB7E1F8142413A9E106835194667E3","MG",3127107,"2021",341.28,51.98,0,8.61,28.64,60.53,0.24,0,133.07,58.22,0,0,0,0,0,0,0
"15","MG-3127107-637632409F504878BFC7006FA10BA77C","MG",3127107,"2021",38.56,0.67,0,0,1.09,4.59,0,0,32.2,0,0,0,0,0,0,0,0
"16","MG-3127107-80D89C140EA64915B686ED6E6B145CC4","MG",3127107,"2021",102.43,2.25,0,5.59,1.45,24.88,0,0.78,66.73,0,0.76,0,0,0,0,0,0
"17","MG-3127107-9440F00DE058412093DBC1B6DB89036E","MG",3127107,"2021",269.79,8.91,0,11.71,12.45,35.39,0,0,200.51,0.14,0.59,0.1,0,0,0,0,0
"18","MG-3127107-990FD886189249C39FA4DA0ECF3BB684","MG",3127107,"2021",63.28,3.41,0,0,0.1,6.55,0,0,45.82,7.4,0,0,0,0,0,0,0
"19","MG-3127107-B6DB231AFFF4456E97DF8A6D3432909A","MG",3127107,"2021",124.19,1.03,0,0.52,14.03,18.68,0,0,89.93,0,0,0,0,0,0,0,0
"20","MG-3127107-DAE29DFF6AF4457B9077CABF09235C3E","MG",3127107,"2021",26.91,2.94,0,0,0,4.12,0,0,19.86,0,0,0,0,0,0,0,0
"21","MG-3127107-E2E767958AB34C46B53CDBF3DBEA02D3","MG",3127107,"2021",220.33,13.79,0,11.52,4.64,21.42,0,0.67,167.77,0,0.5,0,0,0,0,0,0
"22","MG-3127107-ECB798451542454B9945B283FD4AA76D","MG",3127107,"2021",316.86,11,0,37.7,2.51,55.35,0,0,148.44,61.86,0,0,0,0,0,0,0
"23","MG-3127107-FD4C40906A624CB7935880585B101775","MG",3127107,"2021",30.26,2.52,0,0,3.98,4.88,0,0,18.38,0,0.5,0,0,0,0,0,0
"24","MG-3129103-8C639A2EDE0D4B96B4022FB0CCD7AB69","MG",3129103,"2021",366.41,6.42,10.32,14.73,197.41,111.84,0,2.28,0.23,0,23.18,0,0,0,0,0,0
"25","MG-3133402-218B4C0ED8374D86BC99F675F98739B6","MG",3133402,"2021",591.48,95.76,7.59,17.27,11.02,66.38,0,0.59,292.32,100.31,0.24,0,0,0,0,0,0
"26","MG-3133402-4AE73362BD4A4D7EBCCBC18696D7A50A","MG",3133402,"2021",269.84,19.39,8.97,11.21,169.39,60.87,0,0,0,0,0,0,0,0,0,0,0
"27","MG-3133402-9D27D72BBE794B3B99EA4791A487744C","MG",3133402,"2021",229.95,20.79,0,0.99,143.63,64.53,0,0,0.01,0,0,0,0,0,0,0,0
"28","MG-3133402-A7BACB394ED7406F8112E31BFFD8F94F","MG",3133402,"2021",560.24,72.03,0,10.4,316.59,145.65,0,0.9,7.75,0,6.91,0,0,0,0,0,0
"29","MG-3133402-E4FA1EE74E9647E68D6ED7D7C9679F5C","MG",3133402,"2021",149.15,18.17,0,1.57,0.68,122.11,0,0,6.62,0,0,0,0,0,0,0,0
"30","MG-3134202-97522C552B144E5E98B604F8C656DCB3","MG",3134202,"2021",119.4,16.97,22.89,0.78,36.72,41.76,0,0,0.28,0,0,0,0,0,0,0,0
"31","MG-3134202-D739BEDB3C2D4750A08C8D0F72CD35ED","MG",3134202,"2021",152.94,1.86,6.35,3.86,70.77,69.01,0,0,0.23,0.09,0.76,0,0,0,0,0,0
"32","MG-3134202-FAB2505E01994ED684E984E35D7C51A4","MG",3134202,"2021",146.82,9.26,4.83,2.79,0.05,129.88,0,0,0,0.01,0,0,0,0,0,0,0
"33","MG-3134400-A60B4300EC284D4CB1996F82616ACB95","MG",3134400,"2021",95.93,1.27,0,1.31,20.85,9.69,0,0,62.81,0,0,0,0,0,0,0,0
"34","MG-3134400-E8C6AD63D2DE4131841BDA48263B236F","MG",3134400,"2021",339.45,1.65,0,0,183.05,23.42,0,0,131.34,0,0,0,0,0,0,0,0
"35","MG-3138625-14CF79F3BE354C9F87D3E5D9F35D377C","MG",3138625,"2021",34.29,0,0,0,1.27,8.39,0,0,24.63,0,0,0,0,0,0,0,0
"36","MG-3138625-435A0E7834F44F1FA85C0A100E360916","MG",3138625,"2021",177.01,1.99,0,1,9.97,91.43,0,0,51.87,0,20.75,0,0,0,0,0,0
"37","MG-3138625-C8C4F0706BF545468EB8FFC67E5D6D07","MG",3138625,"2021",276.25,26.14,21.19,3.04,16.5,54.14,0,0,155.26,0,0,0,0,0,0,0,0
"38","MG-3138625-CC66CFD271BD46E5BCFB3210DCE80691","MG",3138625,"2021",101.13,0,0,0.23,4.65,5.01,0,0,77.87,13.37,0,0,0,0,0,0,0
"39","MG-3138625-D0FBDC75DB9A434C8D3D451A725B08F5","MG",3138625,"2021",190.77,1.67,0.55,9.83,36.24,140.04,0,0.76,0,0,0,0,1.69,0,0,0,0
"40","MG-3138625-E29D421543904F418837B39DDC1237C1","MG",3138625,"2021",194.79,21.21,0,0.42,24.65,18.45,0,0,129.05,0,1.01,0,0,0,0,0,0
"41","MG-3138625-EB87A49230484B798FF484B1FF6A4200","MG",3138625,"2021",212.22,0.17,3.15,2.07,26.1,12.7,0,0,168.01,0.01,0,0,0,0,0,0,0
"42","MG-3138625-F57C6628922A4F53ABA3EB292E20A6D7","MG",3138625,"2021",118.55,11.12,0,7.69,23.74,8.19,0,0,67.82,0,0,0,0,0,0,0,0
"43","MG-3165107-35FB087C3923403981C4533DCC43CCBB","MG",3165107,"2021",155.9,13.62,0,0,31.72,85.31,0,0.3,0,0,0,17.67,0,7.29,0,0,0
"44","MG-3165107-76C7008B328042309A89F26F789DD095","MG",3165107,"2021",1450.75,147.14,0,0,147.04,719.87,1.42,0.59,17.43,102.68,77.73,75.96,1.51,159.39,0,0,0
"45","MS-5005707-F14A9238D7F640DDA8BA7FDBFF61FFFB","MS",5005707,"2021",3628.33,53.57,0,291.7,1133.37,129.47,0,6.01,0,1908.24,101.57,0,0,0,4.21,0,0
"46","SP-3503208-1C0244E0088B4284B9F0FBCB36128AF7","SP",3503208,"2021",54.66,0,0,0.45,0.42,5.97,0,0,47.82,0,0.01,0,0,0,0,0,0
"47","SP-3503208-287FBE5BAAD44905B7DCBBFBBDFE04C7","SP",3503208,"2021",31.97,1.26,0,1.01,0,22.33,0,0,0.06,7.32,0,0,0,0,0,0,0
"48","SP-3503208-3DFC0A34B4F8483AAE28367E2FECDA63","SP",3503208,"2021",103.07,0.75,0,7.95,0,9.99,0,1.25,75.91,7.22,0,0,0,0,0,0,0
"49","SP-3503208-465915E18C4940B4842D2476CA3E6E49","SP",3503208,"2021",48.45,4.64,0,0.68,0,9.89,0,0,28.69,4.55,0,0,0,0,0,0,0
"50","SP-3503208-6484191647DD4DD4ADC439A286968CF6","SP",3503208,"2021",39.8,0,0,1.1,0,10.54,0,0,25.17,0.08,2.91,0,0,0,0,0,0
"51","SP-3503208-882E576E5E32403BB5925FCCFD66E04A","SP",3503208,"2021",24.37,0,0,0.44,0,5.83,0,0,18.1,0,0,0,0,0,0,0,0
"52","SP-3503208-A287FFAF8AB2407C89A3BF512820FD30","SP",3503208,"2021",29.58,0,0,1.27,0,5.18,0,0,23.13,0,0,0,0,0,0,0,0
"53","SP-3503208-C75616B7833E4963B2FE16DC4AE895EA","SP",3503208,"2021",219.95,5.74,0,3.46,0,13.25,0,0,197.49,0,0,0,0,0,0,0,0
"54","SP-3505500-086D12B4474F4D0C90B881E850AD68A8","SP",3505500,"2021",90.56,2.38,0,0.64,0,12.38,0,0,74.57,0,0.59,0,0,0,0,0,0
"55","SP-3505609-7A1BD2D0BCC648AFACDFE6419EEB8BA2","SP",3505609,"2021",93.85,0,0,0,0,0,0.77,0,92.97,0,0.11,0,0,0,0,0,0
"56","SP-3505609-DBB12C3C0B98414C9B581A1C1C19CA3B","SP",3505609,"2021",121.02,3.6,0,13.61,0,9.34,1.25,0.19,92.01,0,0.75,0,0,0,0,0,0
"57","SP-3505609-E1A757307CC44C67AB8BAEC0ACFA5A18","SP",3505609,"2021",74.23,0,0,0,0,0.31,0.41,0,73.52,0,0,0,0,0,0,0,0
"58","SP-3510104-77729E533B1C404C887B08A33DC16D13","SP",3510104,"2021",120.69,2.92,0,0,0,2.74,0,0,111.46,2.59,0.97,0,0,0.02,0,0,0
"59","SP-3510708-10E4AD3602954083867326F1AF2D0D35","SP",3510708,"2021",33.22,0,0,0.51,1.13,6.84,0,0,24.74,0,0,0,0,0,0,0,0
"60","SP-3510708-5FA2AF2250644624A5FA6C6C30B6421E","SP",3510708,"2021",96.81,12.04,0,5.53,2.16,15.63,0,0,60.94,0.5,0,0,0,0,0,0,0
"61","SP-3512001-F45998EAA14042DDA440DC271FF228BC","SP",3512001,"2021",175.23,0.02,0,1.53,0,10.7,0,0,162.74,0,0,0,0,0,0,0.24,0
"62","SP-3514007-B66C8FCCCC7E4493A5B40502B6BEC627","SP",3514007,"2021",726.22,30.3,0,2.71,2.83,48.54,0.99,0,613.19,27.65,0,0,0,0,0,0,0
"63","SP-3514007-D09EB46840C24FC9B12F5C39C495707C","SP",3514007,"2021",270.35,16.47,0,0.67,0,10.77,0,0,232.47,9.48,0.49,0,0,0,0,0,0
"64","SP-3514601-11A7677D96A843A9847710F011126CE0","SP",3514601,"2021",22.28,0.31,0,0,0,1.47,0.07,0,20.19,0,0.25,0,0,0,0,0,0
"65","SP-3514601-28EB3D2FF85940FEAD2B28FEE6F9F9C9","SP",3514601,"2021",93.02,0.24,0,0.38,0,0.03,0,0,92.16,0,0.2,0,0,0,0,0,0
"66","SP-3518602-06C22ADABA4C42D9A7D0E3130F943869","SP",3518602,"2021",646.27,50.12,0,2.03,4.59,90.45,0.58,0.06,450.75,45.84,1.84,0,0,0,0,0,0
"67","SP-3518602-57FFF6E3A38B47B3979ED422D9637683","SP",3518602,"2021",174.04,0.26,0,5.29,1.33,12.86,0.49,0,152.31,0,1.5,0,0,0,0,0,0
"68","SP-3518602-748DAA41686A4614B52CDBC091FC1C00","SP",3518602,"2021",100.83,9.08,0,0.99,0,8.71,0,0,80.84,1.17,0.04,0,0,0,0,0,0
"69","SP-3518602-81734FC125D7481A88B862DF1D04DE15","SP",3518602,"2021",519.27,31.38,0.25,34.24,0,23.23,0,0.42,429.26,0,0.5,0,0,0,0,0,0
"70","SP-3518602-86BC2C7EFEF146E29C8674243E2C4D9A","SP",3518602,"2021",382.97,19.16,0,0,0,29.01,0,0,333.83,0,0.97,0,0,0,0,0,0
"71","SP-3518602-8B3A6161519A44FEA5303BA48F4D1A7B","SP",3518602,"2021",439.45,24.85,0,6.2,0,23.28,0,0,378.36,6.09,0.67,0,0,0,0,0,0
