"","fcar","uf","munic","year","camada_area_hec","Formacao Florestal","Cana-de-Acucar","Mosaico de Agricultura e Pastagem","Outras Lavouras Temporarias","Formacao Savanica","Silvicultura","Campo Alagado e Area Pantanosa","Soja","Café","Citrus","Pastagem","Area Urbanizada","Outras Areas nao Vegetadas","Rio, Lago e Oceano","Outras Lavouras Perenes","Fomacao Campestre","Afloramento"
"1","SP-3536307-03C0130B26BC4B9E8A6DA288DA994CFB","SP",3536307,"2021",223.09,28.95,154.07,35.12,4.95,0,0,0,0,0,0,0,0,0,0,0,0,0
"2","SP-3536307-2E39329A9BFE4EDDB7C0DA4BE005B9F4","SP",3536307,"2021",73.27,27.89,41.94,3.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3","SP-3536307-38E1F2C15F2F44D3AEBFA47848DB8B76","SP",3536307,"2021",176.5,5.16,108.06,19.58,0,24.52,0.03,3.84,15.3,0,0,0,0,0,0,0,0,0
"4","SP-3536307-39C8340CEEE54519A353C1E4921B8A11","SP",3536307,"2021",147.84,26.18,88.77,30.65,0,0,0,0,0,0.23,2.01,0,0,0,0,0,0,0
"5","SP-3536307-8FA0CD7AF87243C2AD4A29EF1C780683","SP",3536307,"2021",38.91,0,38.86,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6","SP-3536307-A14D5F1196DC4FE89631A52006CE8D3A","SP",3536307,"2021",148.42,6.44,108.91,29.47,3.6,0,0,0,0,0,0,0,0,0,0,0,0,0
"7","SP-3536307-AA36A6369D48486EB1C65F08DFF7BEC0","SP",3536307,"2021",8.4,0,8.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8","SP-3536307-AAED526D05264DA281EA7C8692482317","SP",3536307,"2021",118.68,0.16,106.61,2.2,0,0,0,0,9.72,0,0,0,0,0,0,0,0,0
"9","SP-3536307-D3EBF3FAC8564D139139231BDCBFA492","SP",3536307,"2021",32.27,6.87,17.82,7.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10","SP-3536307-E76342C0AB1F47D29C1AC5568BE76819","SP",3536307,"2021",179.86,9.07,98.99,13.36,0,0,0,0,58.45,0,0,0,0,0,0,0,0,0
"11","SP-3536307-F5CDFF4EC2FB43FEA76AA177E901AA60","SP",3536307,"2021",169.92,22.33,69.34,72.53,0,2.43,0,2.86,0,0,0,0.42,0,0,0,0,0,0
"12","SP-3536604-B96E3840F46247E79C82046385452ADD","SP",3536604,"2021",33.62,0,0,2.55,0,0,0,0,30.94,0,0,0.12,0.02,0,0,0,0,0
"13","SP-3536703-223A1829E5A4411F885257F3629DF141","SP",3536703,"2021",28.73,7.47,12.95,3.41,0,0,0,0,4.91,0,0,0,0,0,0,0,0,0
"14","SP-3538105-0DAFF7B4ACCA455FAA177E7A94B8F269","SP",3538105,"2021",620.17,76.65,448.91,42.5,1.39,0,2.92,35.15,11.83,0,0,0.83,0,0,0,0,0,0
"15","SP-3538105-D4B13E2251B3446AA7B445237DF0CBCD","SP",3538105,"2021",219.02,21.07,182.73,7.53,0.5,0,0,7.19,0,0,0,0,0,0,0,0,0,0
"16","SP-3538907-4A6B17B442114916B860107C4F77527C","SP",3538907,"2021",89.15,5.17,64.85,11.67,0.42,0,0,1.83,0,0,0,5.2,0,0,0,0,0,0
"17","SP-3538907-8008D3921DFB41CFB9B89479B9A774D8","SP",3538907,"2021",358.83,45.69,0,11.99,0,0,0,15.14,0,0,0,286,0,0,0,0,0,0
"18","SP-3539608-1AE0BF2C83E34158B5C09EA38C1DFF3D","SP",3539608,"2021",373.08,12.65,322.84,25.7,0,0,0,6.08,0,0,0,3.25,0,0.59,1.42,0,0,0
"19","SP-3540309-455A2263AE1B4CEDBF18C9A8EF56FD37","SP",3540309,"2021",534.59,1.74,374.64,66.25,22.53,0,0,15.96,6.22,0,0,20.23,0,0,27.02,0,0,0
