"","fcar","uf","munic","year","camada_area_hec","Formacao Florestal","Formacao Savanica","Cana-de-Acucar","Mosaico de Agricultura e Pastagem","Campo Alagado e Area Pantanosa","Café","Citrus","Soja","Pastagem","Area Urbanizada","Outras Lavouras Temporarias","Rio, Lago e Oceano","Fomacao Campestre","Outras Lavouras Perenes","Outras Areas nao Vegetadas","Silvicultura","Afloramento"
"1","SP-3536307-03C0130B26BC4B9E8A6DA288DA994CFB","SP",3536307,"2018",42.22,28.13,0.75,0.61,12.73,0,0,0,0,0,0,0,0,0,0,0,0,0
"2","SP-3536307-2E39329A9BFE4EDDB7C0DA4BE005B9F4","SP",3536307,"2018",28.74,26.99,0,0.24,1.52,0,0,0,0,0,0,0,0,0,0,0,0,0
"3","SP-3536307-38E1F2C15F2F44D3AEBFA47848DB8B76","SP",3536307,"2018",29.66,2.48,21.56,0,2.27,3.35,0,0,0,0,0,0,0,0,0,0,0,0
"4","SP-3536307-39C8340CEEE54519A353C1E4921B8A11","SP",3536307,"2018",37.7,20.06,0,7.46,7.97,0,0.23,1.98,0,0,0,0,0,0,0,0,0,0
"5","SP-3536307-8FA0CD7AF87243C2AD4A29EF1C780683","SP",3536307,"2018",0,0,0,33.74,0,0,0,0,5.17,0,0,0,0,0,0,0,0,0
"6","SP-3536307-A14D5F1196DC4FE89631A52006CE8D3A","SP",3536307,"2018",4.34,3.09,0,0.07,1.18,0,0,0,0,0,0,0,0,0,0,0,0,0
"7","SP-3536307-AA36A6369D48486EB1C65F08DFF7BEC0","SP",3536307,"2018",0,0,0,8.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8","SP-3536307-AAED526D05264DA281EA7C8692482317","SP",3536307,"2018",0.76,0,0,0.04,0.72,0,0,0,0,0,0,0,0,0,0,0,0,0
"9","SP-3536307-D3EBF3FAC8564D139139231BDCBFA492","SP",3536307,"2018",2.79,2.46,0,0.1,0.23,0,0,0,0,0,0,0,0,0,0,0,0,0
"10","SP-3536307-E76342C0AB1F47D29C1AC5568BE76819","SP",3536307,"2018",7.42,6.21,0,0.01,1.19,0,0,0,0,0,0,0,0,0,0,0,0,0
"11","SP-3536307-F5CDFF4EC2FB43FEA76AA177E901AA60","SP",3536307,"2018",18.02,11.88,2.09,0,3.57,0.44,0,0,0,0.04,0,0,0,0,0,0,0,0
"12","SP-3536604-B96E3840F46247E79C82046385452ADD","SP",3536604,"2018",0,0,0,0,2.82,0,0,0,29.9,0.26,0.01,0.62,0,0,0,0,0,0
"13","SP-3536703-223A1829E5A4411F885257F3629DF141","SP",3536703,"2018",5.74,5.12,0,0.27,0.32,0,0,0,0,0,0,0.03,0,0,0,0,0,0
"14","SP-3538105-0DAFF7B4ACCA455FAA177E7A94B8F269","SP",3538105,"2018",116.74,65.92,0,3.71,17.48,29.28,0,0,0,0,0,0.35,0,0,0,0,0,0
"15","SP-3538105-D4B13E2251B3446AA7B445237DF0CBCD","SP",3538105,"2018",33.1,16.62,0,1.93,6.87,7.18,0,0,0,0,0,0.5,0,0,0,0,0,0
"16","SP-3538907-4A6B17B442114916B860107C4F77527C","SP",3538907,"2018",7.37,5.17,0,0.36,1.55,0,0,0,0,0.29,0,0,0,0,0,0,0,0
"17","SP-3538907-8008D3921DFB41CFB9B89479B9A774D8","SP",3538907,"2018",0.13,0.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18","SP-3539608-1AE0BF2C83E34158B5C09EA38C1DFF3D","SP",3539608,"2018",36.89,12.45,0,0.65,14.54,6.32,0,0,0,0.81,0,0,1.88,0,0,0,0,0
"19","SP-3540309-455A2263AE1B4CEDBF18C9A8EF56FD37","SP",3540309,"2018",49.58,1.46,0,2.67,30.63,12.98,0,0,0.09,0.51,0,0.45,0.79,0,0,0,0,0
"20","SP-3540309-663984AC1E8A4B0F817BC2599BBF2DA4","SP",3540309,"2018",1.83,0,0,0.12,1.56,0,0,0,0,0.15,0,0,0,0,0,0,0,0
"21","SP-3540903-262EC6A45FFB45A8B306D5BB26DCAB02","SP",3540903,"2018",3.59,1.56,0,0.24,0.28,1.51,0,0,0,0,0,0,0,0,0,0,0,0
"22","SP-3540903-73F249DF772D472EA6E4054C889E3C37","SP",3540903,"2018",0.98,0,0,0.12,0.86,0,0,0,0,0,0,0,0,0,0,0,0,0
"23","SP-3540903-79CFF2423DFE491AADDFEBEBD58C253F","SP",3540903,"2018",0.59,0.46,0,0,0.13,0,0,0,0,0,0,0,0,0,0,0,0,0
"24","SP-3540903-8E5E9C97601D4B569130EEC00F292D1E","SP",3540903,"2018",0,0.06,0,25.87,0,0,0,0,0.09,0,0,0,0,0,0,0,0,0
"25","SP-3540903-B11929B3E6EA4E9696D1E205DB6984F0","SP",3540903,"2018",5.2,3.99,0,0.35,0,0.72,0,0,0,0,0,0.14,0,0,0,0,0,0
"26","SP-3540903-E33502A05729445AB39A789964C1ABA2","SP",3540903,"2018",0,0,0,18.44,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0
"27","SP-3543402-1DA8730846C74686A4AB4FFFEDF102CA","SP",3543402,"2018",0.01,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"28","SP-3543402-1F1F7808BB7942A7AC24E42F391C7A50","SP",3543402,"2018",60.48,40.6,0,3.08,7.04,9.6,0,0,0,0,0,0.16,0,0,0,0,0,0
"29","SP-3543402-42E69DAFD66A48F2A2C94EF340E96EAD","SP",3543402,"2018",15.09,3.83,0,0.22,0.82,9.69,0,0,0,0,0,0.54,0,0,0,0,0,0
"30","SP-3543402-4B9B41D5E4C44F83BCC3BF1C40A0AD09","SP",3543402,"2018",2.97,1.04,0,0.06,1.88,0,0,0,0,0,0,0,0,0,0,0,0,0
"31","SP-3543402-684F1290C16E47FD88B387C429B2804F","SP",3543402,"2018",174.98,125.24,0,3.01,46.26,0,0,0,0,0.3,0.14,0.03,0,0,0,0,0,0
"32","SP-3543402-EF060FEE30C44FDB89DE102EA19D6E60","SP",3543402,"2018",77.78,71.81,0,1.99,2.11,0.06,0,0,0,0,0,1.81,0,0,0,0,0,0
"33","SP-3543402-FB219CA4F6AA4588AF2B80E948058DBC","SP",3543402,"2018",34.59,26.2,0,1,6.34,0.53,0,0,0,0,0,0.51,0,0,0,0,0,0
"34","SP-3543709-3441624B211E459D97BC7E1C7FF2C66D","SP",3543709,"2018",27.13,7.57,0,0.28,5.86,13.41,0,0,0,0,0,0,0,0,0,0,0,0
"35","SP-3543709-67FEDFB442A74EFDAFED739AA5492A54","SP",3543709,"2018",24.84,10.03,0,1.66,4.7,8.36,0,0,0,0,0,0.06,0.03,0,0,0,0,0
"36","SP-3543709-895E9A4CA7AA45F787AB51BFD227F7E4","SP",3543709,"2018",1130.92,170.4,11.31,17.77,177.39,741.55,0,0,0,5.08,0,0.83,3.9,2.25,0,0,0,0
"37","SP-3543709-F0021CE51CC64BE295FD0164556406B2","SP",3543709,"2018",0,0,0,78.91,4.35,0,0,0,0,0,0,0.14,0,0,0,0,0,0
"38","SP-3544202-1CC80758D5D14B37BA4FDB5607741084","SP",3544202,"2018",59.92,56.11,0,0,3.72,0.02,0,0.05,0,0.01,0,0.01,0,0,0,0,0,0
"39","SP-3544806-6B687EF4F1B84898BCDF0F4308F089C9","SP",3544806,"2018",371.2,359.63,0,0.28,7.53,0.22,0,0,0,1.53,0,0,0,0,2,0,0,0
"40","SP-3545605-31C240CD9EEA4DB795EAF79257D3A555","SP",3545605,"2018",1.84,1.45,0,0,0,0.39,0,0,0,0,0,0,0,0,0,0,0,0
"41","SP-3545605-4B1327CD9F0048C8AF0EF7D758D0BF69","SP",3545605,"2018",12.17,5.38,0,3.65,3.13,0,0,0,0,0,0,0,0,0,0,0,0,0
"42","SP-3545605-744C3D0EC2614782AF597E510CD204D4","SP",3545605,"2018",0,0,0,37.48,0.12,0,0,0,0,0,0,0,0,0,0,0,0,0
"43","SP-3545605-FC224EA067B740748563093314CEEB53","SP",3545605,"2018",0,1.98,0,119.11,24.48,1.33,0,0,2.95,2.84,0,0,0,0,0,0,0,0
"44","SP-3546504-17316620B58E4D9A804E41102F4433F8","SP",3546504,"2018",2.17,0.52,0,0.03,1.62,0,0,0,0,0,0,0,0,0,0,0,0,0
"45","SP-3546504-6EB6A453EEE24B7985BC522A0F0E5263","SP",3546504,"2018",0,0,0,29.87,0.92,0,0,0,0,0,0,0,0,0,0,0,0,0
"46","SP-3546504-B94FB8D88D6B49C994D16BAB866E6567","SP",3546504,"2018",1.23,0,0,0.1,1.13,0,0,0,0,0,0,0,0,0,0,0,0,0
"47","SP-3546504-FFEDB04F349B452AAED6CDB1F18A0AD3","SP",3546504,"2018",0,0,0,19.42,0.09,0,0,0,0,0,0,0.03,0,0,0,0,0,0
"48","SP-3547502-55E0E2928C6042439DD9F30820431BAA","SP",3547502,"2018",0.63,0.36,0,0,0.27,0,0,0,0,0,0,0,0,0,0,0,0,0
"49","SP-3552601-C14D91A2A6E546A89928041173C30A01","SP",3552601,"2018",5.57,0.11,0,0,3.07,0,0,0,0,2.39,0,0,0,0,0,0,0,0
"50","SP-3552700-E4D0C8F26C234432A308F245268B367B","SP",3552700,"2018",2.39,0.84,0,0.14,1.41,0,0,0,0,0,0,0,0,0,0,0,0,0
"51","SP-3553203-7758C310E68943F68BFF6E34A3CC369B","SP",3553203,"2018",0.31,0,0,0.06,0.09,0.16,0,0,0,0,0,0,0,0,0,0,0,0
"52","SP-3553203-D7550D3273A445459C0CA1CC9F01DC82","SP",3553203,"2018",21.64,4.41,0,0.82,13.67,2.23,0,0,0,0.3,0,0,0.21,0,0,0,0,0
"53","SP-3553203-E702888E159D45FDB83877FF261E2B77","SP",3553203,"2018",10.32,9.51,0,0.5,0.31,0,0,0,0,0,0,0,0,0,0,0,0,0
"54","SP-3553401-37712E2C1B0E40B898C3E8FD406A0C5B","SP",3553401,"2018",27.33,18.9,0,0.17,5.96,1.55,0,0,0,0.75,0,0,0,0,0,0,0,0
"55","SP-3553401-B6EFB97DDA6649898BC55B296A3CB982","SP",3553401,"2018",146.56,62.44,0,7.05,62.01,2.89,0,0,0,12.17,0,0,0,0,0,0,0,0
"56","SP-3553401-C2F5B34A04294D2D8E414980BC2B2888","SP",3553401,"2018",87.79,49.11,0,0.55,12.39,24.24,0,0,0,1.5,0,0,0,0,0,0,0,0
"57","SP-3553708-0363D6D4AE3A4CF5834FC4B14EB2FD19","SP",3553708,"2018",0.43,0.14,0,0,0.05,0.25,0,0,0,0,0,0,0,0,0,0,0,0
