,NUMREGCAR,Count,uf,munic,fcar
0,GO52035005FD270C3D0964A1687EE9229900C5B32,1,GO,5203500,GO-5203500-5FD270C3D0964A1687EE9229900C5B32
1,MG311110137DDE24C831A4ECAB7F1B42EFB304E64,1,MG,3111101,MG-3111101-37DDE24C831A4ECAB7F1B42EFB304E64
2,MG312700819E5ECA12A5F4A63A79E9F3BB0A174AC,1,MG,3127008,MG-3127008-19E5ECA12A5F4A63A79E9F3BB0A174AC
3,MG312700827159D2D7D6B4CC4908FD9474BD226CC,1,MG,3127008,MG-3127008-27159D2D7D6B4CC4908FD9474BD226CC
4,MG31270085792C74FEADF4235ABCFC4F5FFAC56CC,1,MG,3127008,MG-3127008-5792C74FEADF4235ABCFC4F5FFAC56CC
5,MG3127008869F6ED85DC44EBBB187EA2F57A29293,1,MG,3127008,MG-3127008-869F6ED85DC44EBBB187EA2F57A29293
6,MG3127008FB0EDE3FF1E043CE8AC4A52A330C901D,1,MG,3127008,MG-3127008-FB0EDE3FF1E043CE8AC4A52A330C901D
7,MG3127107023C43B1C60F4527A0FC38D94AA999C6,1,MG,3127107,MG-3127107-023C43B1C60F4527A0FC38D94AA999C6
8,MG3127107039D91EAE0BD4C4BAEB19F0EC7940BB3,1,MG,3127107,MG-3127107-039D91EAE0BD4C4BAEB19F0EC7940BB3
9,MG31271071DDFCE8C3B584A109AC6CDB0B9B19168,1,MG,3127107,MG-3127107-1DDFCE8C3B584A109AC6CDB0B9B19168
10,MG31271072C161535668C438EA44802670930F54C,1,MG,3127107,MG-3127107-2C161535668C438EA44802670930F54C
11,MG312710735CA20ACBAEE40C0918655CA7A462B92,1,MG,3127107,MG-3127107-35CA20ACBAEE40C0918655CA7A462B92
12,MG312710737B970FC7DA544639AB9B6BBD6EC91AC,1,MG,3127107,MG-3127107-37B970FC7DA544639AB9B6BBD6EC91AC
13,MG3127107394138E76EE14B01BD7D04F557F2448A,1,MG,3127107,MG-3127107-394138E76EE14B01BD7D04F557F2448A
14,MG31271073AEB7E1F8142413A9E106835194667E3,1,MG,3127107,MG-3127107-3AEB7E1F8142413A9E106835194667E3
15,MG3127107637632409F504878BFC7006FA10BA77C,1,MG,3127107,MG-3127107-637632409F504878BFC7006FA10BA77C
16,MG312710780D89C140EA64915B686ED6E6B145CC4,1,MG,3127107,MG-3127107-80D89C140EA64915B686ED6E6B145CC4
17,MG31271079440F00DE058412093DBC1B6DB89036E,1,MG,3127107,MG-3127107-9440F00DE058412093DBC1B6DB89036E
18,MG3127107990FD886189249C39FA4DA0ECF3BB684,1,MG,3127107,MG-3127107-990FD886189249C39FA4DA0ECF3BB684
19,MG3127107B6DB231AFFF4456E97DF8A6D3432909A,1,MG,3127107,MG-3127107-B6DB231AFFF4456E97DF8A6D3432909A
20,MG3127107DAE29DFF6AF4457B9077CABF09235C3E,1,MG,3127107,MG-3127107-DAE29DFF6AF4457B9077CABF09235C3E
21,MG3127107E2E767958AB34C46B53CDBF3DBEA02D3,1,MG,3127107,MG-3127107-E2E767958AB34C46B53CDBF3DBEA02D3
22,MG3127107ECB798451542454B9945B283FD4AA76D,1,MG,3127107,MG-3127107-ECB798451542454B9945B283FD4AA76D
23,MG3127107FD4C40906A624CB7935880585B101775,1,MG,3127107,MG-3127107-FD4C40906A624CB7935880585B101775
24,MG31291038C639A2EDE0D4B96B4022FB0CCD7AB69,1,MG,3129103,MG-3129103-8C639A2EDE0D4B96B4022FB0CCD7AB69
25,MG3132909A80E8FBCD20F4606B99AF4CE0C4C5377,1,MG,3132909,MG-3132909-A80E8FBCD20F4606B99AF4CE0C4C5377
26,MG3133402218B4C0ED8374D86BC99F675F98739B6,1,MG,3133402,MG-3133402-218B4C0ED8374D86BC99F675F98739B6
27,MG31334024AE73362BD4A4D7EBCCBC18696D7A50A,1,MG,3133402,MG-3133402-4AE73362BD4A4D7EBCCBC18696D7A50A
28,MG31334029D27D72BBE794B3B99EA4791A487744C,1,MG,3133402,MG-3133402-9D27D72BBE794B3B99EA4791A487744C
29,MG3133402A7BACB394ED7406F8112E31BFFD8F94F,1,MG,3133402,MG-3133402-A7BACB394ED7406F8112E31BFFD8F94F
30,MG3133402E4FA1EE74E9647E68D6ED7D7C9679F5C,1,MG,3133402,MG-3133402-E4FA1EE74E9647E68D6ED7D7C9679F5C
31,MG313420297522C552B144E5E98B604F8C656DCB3,1,MG,3134202,MG-3134202-97522C552B144E5E98B604F8C656DCB3
32,MG3134202D739BEDB3C2D4750A08C8D0F72CD35ED,1,MG,3134202,MG-3134202-D739BEDB3C2D4750A08C8D0F72CD35ED
33,MG3134202FAB2505E01994ED684E984E35D7C51A4,1,MG,3134202,MG-3134202-FAB2505E01994ED684E984E35D7C51A4
34,MG313440069B42D8CB67B45E9B4823C5ECA828662,1,MG,3134400,MG-3134400-69B42D8CB67B45E9B4823C5ECA828662
35,MG3134400A60B4300EC284D4CB1996F82616ACB95,1,MG,3134400,MG-3134400-A60B4300EC284D4CB1996F82616ACB95
36,MG3134400E8C6AD63D2DE4131841BDA48263B236F,1,MG,3134400,MG-3134400-E8C6AD63D2DE4131841BDA48263B236F
37,MG313862514CF79F3BE354C9F87D3E5D9F35D377C,1,MG,3138625,MG-3138625-14CF79F3BE354C9F87D3E5D9F35D377C
38,MG3138625435A0E7834F44F1FA85C0A100E360916,1,MG,3138625,MG-3138625-435A0E7834F44F1FA85C0A100E360916
39,MG3138625C8C4F0706BF545468EB8FFC67E5D6D07,1,MG,3138625,MG-3138625-C8C4F0706BF545468EB8FFC67E5D6D07
40,MG3138625CC66CFD271BD46E5BCFB3210DCE80691,1,MG,3138625,MG-3138625-CC66CFD271BD46E5BCFB3210DCE80691
41,MG3138625D0FBDC75DB9A434C8D3D451A725B08F5,1,MG,3138625,MG-3138625-D0FBDC75DB9A434C8D3D451A725B08F5
42,MG3138625E29D421543904F418837B39DDC1237C1,1,MG,3138625,MG-3138625-E29D421543904F418837B39DDC1237C1
43,MG3138625EB87A49230484B798FF484B1FF6A4200,1,MG,3138625,MG-3138625-EB87A49230484B798FF484B1FF6A4200
44,MG3138625ED438DEC29B9481C8CFD5E198F7B0A2A,1,MG,3138625,MG-3138625-ED438DEC29B9481C8CFD5E198F7B0A2A
45,MG3138625F57C6628922A4F53ABA3EB292E20A6D7,1,MG,3138625,MG-3138625-F57C6628922A4F53ABA3EB292E20A6D7
46,MG3143203CB84F26CBF38488E9B9EA4C591B09BE6,1,MG,3143203,MG-3143203-CB84F26CBF38488E9B9EA4C591B09BE6
47,MG3161304F85468E766154525A8453EF6D9FE3780,0,MG,3161304,MG-3161304-F85468E766154525A8453EF6D9FE3780
48,MG316510735FB087C3923403981C4533DCC43CCBB,1,MG,3165107,MG-3165107-35FB087C3923403981C4533DCC43CCBB
49,MG316510751BFE4A5B7DE4B3F8ECD879B713D209A,1,MG,3165107,MG-3165107-51BFE4A5B7DE4B3F8ECD879B713D209A
50,MG316510776C7008B328042309A89F26F789DD095,1,MG,3165107,MG-3165107-76C7008B328042309A89F26F789DD095
51,MS5002902F408AABD6F3F4837B1E38BEB0634A1CC,1,MS,5002902,MS-5002902-F408AABD6F3F4837B1E38BEB0634A1CC
52,MS5005707F14A9238D7F640DDA8BA7FDBFF61FFFB,1,MS,5005707,MS-5005707-F14A9238D7F640DDA8BA7FDBFF61FFFB
53,MS50074068D3BA34EACF94CCCB7284963B1FE1A26,1,MS,5007406,MS-5007406-8D3BA34EACF94CCCB7284963B1FE1A26
54,SP350100445596C4A82BB4DFE94A697AAD843B319,1,SP,3501004,SP-3501004-45596C4A82BB4DFE94A697AAD843B319
55,SP3501004F18C5AE153D84462A4784E0C0555EC83,1,SP,3501004,SP-3501004-F18C5AE153D84462A4784E0C0555EC83
56,SP3501707B2ED87DB14844743B722F929E4CEA2E7,1,SP,3501707,SP-3501707-B2ED87DB14844743B722F929E4CEA2E7
57,SP35032081C0244E0088B4284B9F0FBCB36128AF7,1,SP,3503208,SP-3503208-1C0244E0088B4284B9F0FBCB36128AF7
58,SP3503208287FBE5BAAD44905B7DCBBFBBDFE04C7,1,SP,3503208,SP-3503208-287FBE5BAAD44905B7DCBBFBBDFE04C7
59,SP35032083DFC0A34B4F8483AAE28367E2FECDA63,1,SP,3503208,SP-3503208-3DFC0A34B4F8483AAE28367E2FECDA63
60,SP3503208465915E18C4940B4842D2476CA3E6E49,1,SP,3503208,SP-3503208-465915E18C4940B4842D2476CA3E6E49
61,SP35032086484191647DD4DD4ADC439A286968CF6,1,SP,3503208,SP-3503208-6484191647DD4DD4ADC439A286968CF6
62,SP3503208882E576E5E32403BB5925FCCFD66E04A,1,SP,3503208,SP-3503208-882E576E5E32403BB5925FCCFD66E04A
63,SP3503208A287FFAF8AB2407C89A3BF512820FD30,1,SP,3503208,SP-3503208-A287FFAF8AB2407C89A3BF512820FD30
64,SP3503208C75616B7833E4963B2FE16DC4AE895EA,1,SP,3503208,SP-3503208-C75616B7833E4963B2FE16DC4AE895EA
65,SP3505500086D12B4474F4D0C90B881E850AD68A8,1,SP,3505500,SP-3505500-086D12B4474F4D0C90B881E850AD68A8
66,SP3505500EFAAA115048748AF96F3DA7516D8CBCB,0,SP,3505500,SP-3505500-EFAAA115048748AF96F3DA7516D8CBCB
67,SP35056097A1BD2D0BCC648AFACDFE6419EEB8BA2,1,SP,3505609,SP-3505609-7A1BD2D0BCC648AFACDFE6419EEB8BA2
68,SP3505609DBB12C3C0B98414C9B581A1C1C19CA3B,1,SP,3505609,SP-3505609-DBB12C3C0B98414C9B581A1C1C19CA3B
69,SP3505609E1A757307CC44C67AB8BAEC0ACFA5A18,1,SP,3505609,SP-3505609-E1A757307CC44C67AB8BAEC0ACFA5A18
70,SP3505906128E94E0246E4C759C90B5E8A60D054E,1,SP,3505906,SP-3505906-128E94E0246E4C759C90B5E8A60D054E
71,SP35059063498352E07994602901825B26F8E8B25,1,SP,3505906,SP-3505906-3498352E07994602901825B26F8E8B25
