"","fcar","uf","munic","year","farm_area_hec","Formacao Florestal","Formacao Savanica","Cana-de-Acucar","Mosaico de Agricultura e Pastagem","Outras Lavouras Temporarias","Silvicultura","Campo Alagado e Area Pantanosa","Soja","Café","Citrus","Fomacao Campestre","Pastagem","Area Urbanizada","Rio, Lago e Oceano","Outras Areas nao Vegetadas","Outras Lavouras Perenes","Afloramento"
"1","SP-3536307-03C0130B26BC4B9E8A6DA288DA994CFB","SP",3536307,"2020",223.09,28.92,0.67,154.07,34.48,4.95,0,0,0,0,0,0,0,0,0,0,0,0
"2","SP-3536307-2E39329A9BFE4EDDB7C0DA4BE005B9F4","SP",3536307,"2020",73.27,27.89,0,41.94,3.44,0,0,0,0,0,0,0,0,0,0,0,0,0
"3","SP-3536307-38E1F2C15F2F44D3AEBFA47848DB8B76","SP",3536307,"2020",176.5,5.29,23.13,107.81,19.7,0,0.03,5.24,15.3,0,0,0,0,0,0,0,0,0
"4","SP-3536307-39C8340CEEE54519A353C1E4921B8A11","SP",3536307,"2020",147.84,25.43,0,88.77,31.41,0,0,0,0,0.23,2.01,0,0,0,0,0,0,0
"5","SP-3536307-8FA0CD7AF87243C2AD4A29EF1C780683","SP",3536307,"2020",38.91,0,0,38.86,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0
"6","SP-3536307-A14D5F1196DC4FE89631A52006CE8D3A","SP",3536307,"2020",148.42,6.38,0,105.04,29.56,7.45,0,0,0,0,0,0,0,0,0,0,0,0
"7","SP-3536307-AA36A6369D48486EB1C65F08DFF7BEC0","SP",3536307,"2020",8.4,0,0,8.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8","SP-3536307-AAED526D05264DA281EA7C8692482317","SP",3536307,"2020",118.68,0.16,0,108.96,2.2,0,0,0,7.37,0,0,0,0,0,0,0,0,0
"9","SP-3536307-D3EBF3FAC8564D139139231BDCBFA492","SP",3536307,"2020",32.27,6.45,0,17.66,8.16,0,0,0,0,0,0,0,0,0,0,0,0,0
"10","SP-3536307-E76342C0AB1F47D29C1AC5568BE76819","SP",3536307,"2020",179.86,9.07,0,103.25,13.36,0,0,0,54.18,0,0,0,0,0,0,0,0,0
"11","SP-3536307-F5CDFF4EC2FB43FEA76AA177E901AA60","SP",3536307,"2020",169.92,22.58,2.6,69.34,71.44,0,0,2.86,0,0,0,0.67,0.42,0,0,0,0,0
"12","SP-3536604-B96E3840F46247E79C82046385452ADD","SP",3536604,"2020",33.62,0,0,0,2.56,0,0,0,30.94,0,0,0,0.12,0.01,0,0,0,0
"13","SP-3536703-223A1829E5A4411F885257F3629DF141","SP",3536703,"2020",28.73,7.47,0,12.95,3.41,0,0,0,4.91,0,0,0,0,0,0,0,0,0
"14","SP-3538105-0DAFF7B4ACCA455FAA177E7A94B8F269","SP",3538105,"2020",620.17,77.36,0,449.7,41.84,1.39,2.92,35.15,11.08,0,0,0,0.75,0,0,0,0,0
"15","SP-3538105-D4B13E2251B3446AA7B445237DF0CBCD","SP",3538105,"2020",219.02,20.49,0,182.73,8.11,0.5,0,7.19,0,0,0,0,0,0,0,0,0,0
"16","SP-3538907-4A6B17B442114916B860107C4F77527C","SP",3538907,"2020",89.15,5.17,0,64.64,11.55,0.74,0,1.92,0,0,0,0,5.13,0,0,0,0,0
"17","SP-3538907-8008D3921DFB41CFB9B89479B9A774D8","SP",3538907,"2020",358.83,45.69,0,0,11.94,0,0,15.47,0,0,0,0,285.73,0,0,0,0,0
