,NUMREGCAR,uf,munic,fcar
0,GO5204805C1F5A289E1964E7DBC12C9725B85FA36,GO,5204805,GO-5204805-C1F5A289E1964E7DBC12C9725B85FA36
1,MG310825528380BE46FB948A18F4CC31FB9ABC476,MG,3108255,MG-3108255-28380BE46FB948A18F4CC31FB9ABC476
2,MT5101803B5814DEEAA034034881BADD1797B45E4,MT,5101803,MT-5101803-B5814DEEAA034034881BADD1797B45E4
3,MT51066531067FC0C33A746D5A1EFE49B40690F9A,MT,5106653,MT-5106653-1067FC0C33A746D5A1EFE49B40690F9A
4,SP35003031D288D45DB1C4547A350860E5EBC9E93,SP,3500303,SP-3500303-1D288D45DB1C4547A350860E5EBC9E93
5,SP3502002194E031F77454D23A97823104F8E65B4,SP,3502002,SP-3502002-194E031F77454D23A97823104F8E65B4
6,SP35020023D79DEC6188E48C1A3B796C2569D1983,SP,3502002,SP-3502002-3D79DEC6188E48C1A3B796C2569D1983
7,SP350200250D0EC74710445879A3FC8243D9BFEA2,SP,3502002,SP-3502002-50D0EC74710445879A3FC8243D9BFEA2
8,SP3502002E00FD1669C12436ABC360EF8F625AC16,SP,3502002,SP-3502002-E00FD1669C12436ABC360EF8F625AC16
9,SP350280491E7646493B24E568ED89A34D07FDD17,SP,3502804,SP-3502804-91E7646493B24E568ED89A34D07FDD17
10,SP3502903776A08F413C1410EBF7457B9F7CA5FC6,SP,3502903,SP-3502903-776A08F413C1410EBF7457B9F7CA5FC6
11,SP35033074F8B524DD845498F91CDE93D29C764BC,SP,3503307,SP-3503307-4F8B524DD845498F91CDE93D29C764BC
12,SP350330755945DB63C104A33AE703FCCADFA486D,SP,3503307,SP-3503307-55945DB63C104A33AE703FCCADFA486D
13,SP350380251FB028CBCE34E0EB00B111C432A8415,SP,3503802,SP-3503802-51FB028CBCE34E0EB00B111C432A8415
14,SP3508405BE1F60F5BCD64BCA9EFFC61ED083063C,SP,3508405,SP-3508405-BE1F60F5BCD64BCA9EFFC61ED083063C
15,SP3514304E38873C4DAD844C4A55E38065E51B3A4,SP,3514304,SP-3514304-E38873C4DAD844C4A55E38065E51B3A4
16,SP3526704FFD62FDD71114C779838FBA022BC44AD,SP,3526704,SP-3526704-FFD62FDD71114C779838FBA022BC44AD
17,SP35345008C4F9508987F48928222AB44CF6B5A0C,SP,3534500,SP-3534500-8C4F9508987F48928222AB44CF6B5A0C
18,SP3537800B49DB6909A7047CA8A0DDE44FD52C62D,SP,3537800,SP-3537800-B49DB6909A7047CA8A0DDE44FD52C62D
19,SP35393014738C6121E6C4CA0AB6A8A33CC9CC744,SP,3539301,SP-3539301-4738C6121E6C4CA0AB6A8A33CC9CC744
20,SP354070564BAC6ABA08A4AAF869A0EB2348D33F3,SP,3540705,SP-3540705-64BAC6ABA08A4AAF869A0EB2348D33F3
21,SP3540705EBF4F4B7DE9B4892BA739C8A98D7EB18,SP,3540705,SP-3540705-EBF4F4B7DE9B4892BA739C8A98D7EB18
22,SP35462074520AB75C8084D07AF4CC3CE01F95683,SP,3546207,SP-3546207-4520AB75C8084D07AF4CC3CE01F95683
23,SP35475021D52C017E021417EA2B8212E48CA52EB,SP,3547502,SP-3547502-1D52C017E021417EA2B8212E48CA52EB
24,SP35475028FCCFE5E3B60415DBA36D6A3A25E5CF3,SP,3547502,SP-3547502-8FCCFE5E3B60415DBA36D6A3A25E5CF3
25,SP354760161178038AA0B4426B3469698E7D73181,SP,3547601,SP-3547601-61178038AA0B4426B3469698E7D73181
26,SP3550902CCC8C5364F52479B99323FF4F571D7D5,SP,3550902,SP-3550902-CCC8C5364F52479B99323FF4F571D7D5
27,SP35540038D5D8D3487BF4B45B86E700AAE949C20,SP,3554003,SP-3554003-8D5D8D3487BF4B45B86E700AAE949C20
28,SP3554201F56E782D187F41CB91E3E0CBAE2067F0,SP,3554201,SP-3554201-F56E782D187F41CB91E3E0CBAE2067F0
