"","fcar","uf","munic","year","camada_area_hec","Formacao Florestal","Formacao Savanica","Campo Alagado e Area Pantanosa","Fomacao Campestre","Pastagem","Mosaico de Agricultura e Pastagem","Soja","Outras Lavouras Temporarias","Outras Areas nao Vegetadas","Rio, Lago e Oceano","Cana-de-Acucar","Silvicultura","Area Urbanizada","Citrus","Café","Outras Lavouras Perenes"
"1","GO-5204805-C1F5A289E1964E7DBC12C9725B85FA36","GO",5204805,"2018",456.92,11.65,22.53,12.65,15.83,50.34,12.42,308.61,22.86,0,0,0,0,0,0,0,0
"2","MG-3108255-28380BE46FB948A18F4CC31FB9ABC476","MG",3108255,"2018",142.32,5.67,80.35,6.38,49.91,0,0,0,0,0,0,0,0,0,0,0,0
"3","MT-5101803-B5814DEEAA034034881BADD1797B45E4","MT",5101803,"2018",5565.99,1790.06,98.19,3.28,0,2126.65,85.69,1095.99,337.71,10.71,17.77,0,0,0,0,0,0
"4","MT-5106653-1067FC0C33A746D5A1EFE49B40690F9A","MT",5106653,"2018",1139.45,28.32,376.66,13.3,3.96,708.91,8.3,0,0,0,0,0,0,0,0,0,0
"5","SP-3500303-1D288D45DB1C4547A350860E5EBC9E93","SP",3500303,"2018",79.59,3.38,0,1.06,0,0,10.51,0.37,0.55,0,0,63.73,0,0,0,0,0
"6","SP-3502002-194E031F77454D23A97823104F8E65B4","SP",3502002,"2018",52.41,2.22,0,3.77,0.27,5.73,12.32,0,0,0,0,28.1,0,0,0,0,0
"7","SP-3502002-3D79DEC6188E48C1A3B796C2569D1983","SP",3502002,"2018",64.4,15.13,0,0,0,25.05,24.21,0,0,0,0,0.01,0,0,0,0,0
"8","SP-3502002-50D0EC74710445879A3FC8243D9BFEA2","SP",3502002,"2018",88.35,6.75,1.31,0,0.58,9.68,69.22,0,0,0,0,0.81,0,0,0,0,0
"9","SP-3502002-E00FD1669C12436ABC360EF8F625AC16","SP",3502002,"2018",263.02,33.42,17.34,0,0,3.07,44.87,0,0,0,0,163.95,0.02,0.35,0,0,0
"10","SP-3502804-91E7646493B24E568ED89A34D07FDD17","SP",3502804,"2018",34.26,0,0,0,0,1.1,11.48,21.29,0.38,0,0,0,0,0,0,0,0
