"","fcar","uf","munic","year","camada_area_hec","Formacao Florestal","Formacao Savanica","Campo Alagado e Area Pantanosa","Fomacao Campestre","Pastagem","Mosaico de Agricultura e Pastagem","Soja","Outras Lavouras Perenes","Outras Areas nao Vegetadas","Rio, Lago e Oceano","Outras Lavouras Temporarias","Cana-de-Acucar","Silvicultura","Area Urbanizada","Citrus","Café"
"1","GO-5204805-C1F5A289E1964E7DBC12C9725B85FA36","GO",5204805,"2020",456.92,10.5,21.94,13.71,15.49,47.39,14.83,333.05,0,0,0,0,0,0,0,0,0
"2","MG-3108255-28380BE46FB948A18F4CC31FB9ABC476","MG",3108255,"2020",142.32,4.9,80.61,6.3,49.91,0,0,0,0.61,0,0,0,0,0,0,0,0
"3","MT-5101803-B5814DEEAA034034881BADD1797B45E4","MT",5101803,"2020",5565.99,1781.61,95.38,3.28,0,2067.37,136.47,1103.35,0,10.11,17.33,351.17,0,0,0,0,0
"4","MT-5106653-1067FC0C33A746D5A1EFE49B40690F9A","MT",5106653,"2020",1139.45,27.97,366.62,13.22,3.96,719.89,7.79,0,0,0,0,0,0,0,0,0,0
"5","SP-3500303-1D288D45DB1C4547A350860E5EBC9E93","SP",3500303,"2020",79.59,3.05,0,0.98,0,0,20.87,35.03,0,0,0,0,19.67,0,0,0,0
"6","SP-3502002-194E031F77454D23A97823104F8E65B4","SP",3502002,"2020",52.41,2.13,0,3.64,0.24,5.14,13.09,0,0,0,0,0,28.16,0,0,0,0
"7","SP-3502002-3D79DEC6188E48C1A3B796C2569D1983","SP",3502002,"2020",64.4,15.38,0,0,0,21.65,27.36,0,0,0,0,0,0.01,0,0,0,0
"8","SP-3502002-50D0EC74710445879A3FC8243D9BFEA2","SP",3502002,"2020",88.35,6.3,1.94,0.25,0,8.76,70.79,0,0,0,0,0,0.32,0,0,0,0
"9","SP-3502002-E00FD1669C12436ABC360EF8F625AC16","SP",3502002,"2020",263.02,32.84,17.5,0,0,3.4,47.08,0,0,0,0,0,161.77,0.02,0.4,0,0
"10","SP-3502804-91E7646493B24E568ED89A34D07FDD17","SP",3502804,"2020",34.26,0.01,0,0,0,1.31,11.69,19.92,0,0,0,1.34,0,0,0,0,0
"11","SP-3502903-776A08F413C1410EBF7457B9F7CA5FC6","SP",3502903,"2020",8.05,1.7,0,0,0,1.31,5.03,0,0,0,0,0,0,0,0,0,0
"12","SP-3503307-4F8B524DD845498F91CDE93D29C764BC","SP",3503307,"2020",11.43,0,0,0,0,0,4.64,3.07,0,0,0,0,0.02,0,0,3.7,0
"13","SP-3503307-55945DB63C104A33AE703FCCADFA486D","SP",3503307,"2020",2.93,1.61,0,0,0,0,1.32,0,0,0,0,0,0,0,0,0,0
"14","SP-3503802-51FB028CBCE34E0EB00B111C432A8415","SP",3503802,"2020",27.56,2.6,0,0,0,2.32,22.64,0,0,0,0,0,0,0,0,0,0
"15","SP-3508405-BE1F60F5BCD64BCA9EFFC61ED083063C","SP",3508405,"2020",49.98,21.15,0,0,0,9.68,11.69,1.32,0,0,0.07,5.34,0,0.74,0,0,0
"16","SP-3514304-E38873C4DAD844C4A55E38065E51B3A4","SP",3514304,"2020",7.15,0,0,0.26,0,0.01,6.19,0,0,0,0,0,0.58,0,0.1,0,0
"17","SP-3526704-FFD62FDD71114C779838FBA022BC44AD","SP",3526704,"2020",31.47,0,0,0,0,21.39,10.06,0,0,0,0,0,0.01,0,0,0,0
"18","SP-3534500-8C4F9508987F48928222AB44CF6B5A0C","SP",3534500,"2020",118.35,21.55,0,0,0,88.52,8.27,0,0,0,0,0,0,0,0,0,0
"19","SP-3537800-B49DB6909A7047CA8A0DDE44FD52C62D","SP",3537800,"2020",22.57,7.41,0,0,0,0,2.2,1.07,0,0,0,11.9,0,0,0,0,0
"20","SP-3539301-4738C6121E6C4CA0AB6A8A33CC9CC744","SP",3539301,"2020",4.45,1.69,0,0,0,0,2.73,0,0,0,0.01,0,0.01,0,0,0,0
"21","SP-3540705-64BAC6ABA08A4AAF869A0EB2348D33F3","SP",3540705,"2020",4.81,0,0,0,0,0,4.6,0,0,0.07,0,0,0.14,0,0,0,0
"22","SP-3540705-EBF4F4B7DE9B4892BA739C8A98D7EB18","SP",3540705,"2020",114.46,6.16,0,1.22,0,0,5.68,71.35,0,0,0,18.66,11.39,0,0,0,0
