"","fcar","uf","munic","year","camada_area_hec","Formacao Florestal","Formacao Savanica","Campo Alagado e Area Pantanosa","Fomacao Campestre","Pastagem","Mosaico de Agricultura e Pastagem","Soja","Outras Areas nao Vegetadas","Rio, Lago e Oceano","Outras Lavouras Temporarias","Cana-de-Acucar","Silvicultura","Area Urbanizada","Café"
"1","GO-5204805-C1F5A289E1964E7DBC12C9725B85FA36","GO",5204805,"2021",0,10.78,20.83,13.76,13.01,42.95,22.62,332.97,0,0,0,0,0,0,0
"2","MG-3108255-28380BE46FB948A18F4CC31FB9ABC476","MG",3108255,"2021",28.6,0,6.71,0,21.89,0,0,0,0,0,0,0,0,0,0
"3","MT-5101803-B5814DEEAA034034881BADD1797B45E4","MT",5101803,"2021",1733.49,1608.54,41.86,1.84,0,52.76,17.04,8.26,0.27,0.38,2.56,0,0,0,0
"4","MT-5106653-1067FC0C33A746D5A1EFE49B40690F9A","MT",5106653,"2021",403.95,27.71,298.66,7.87,3.96,61.19,4.57,0,0,0,0,0,0,0,0
"5","SP-3500303-1D288D45DB1C4547A350860E5EBC9E93","SP",3500303,"2021",0.95,0.18,0,0.05,0,0,0.72,0,0,0,0,0,0,0,0
"6","SP-3502002-194E031F77454D23A97823104F8E65B4","SP",3502002,"2021",0,1.97,0,3.57,0,1.9,16.82,0,0,0,0,28.16,0,0,0
"7","SP-3502002-3D79DEC6188E48C1A3B796C2569D1983","SP",3502002,"2021",13.24,10.82,0,0,0,0.01,2.42,0,0,0,0,0,0,0,0
"8","SP-3502002-50D0EC74710445879A3FC8243D9BFEA2","SP",3502002,"2021",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9","SP-3502002-E00FD1669C12436ABC360EF8F625AC16","SP",3502002,"2021",52.95,25.47,15.96,0,0,0.01,11.04,0,0,0,0,0.45,0.02,0,0
"10","SP-3502804-91E7646493B24E568ED89A34D07FDD17","SP",3502804,"2021",6.87,0.01,0,0,0,0.56,3.56,2.75,0,0,0,0,0,0,0
"11","SP-3502903-776A08F413C1410EBF7457B9F7CA5FC6","SP",3502903,"2021",0.07,0.02,0,0,0,0,0.05,0,0,0,0,0,0,0,0
"12","SP-3503307-4F8B524DD845498F91CDE93D29C764BC","SP",3503307,"2021",0.27,0,0,0,0,0,0.27,0,0,0,0,0,0,0,0
"13","SP-3503307-55945DB63C104A33AE703FCCADFA486D","SP",3503307,"2021",0.59,0.51,0,0,0,0,0.08,0,0,0,0,0,0,0,0
"14","SP-3503802-51FB028CBCE34E0EB00B111C432A8415","SP",3503802,"2021",0.02,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0
"15","SP-3508405-BE1F60F5BCD64BCA9EFFC61ED083063C","SP",3508405,"2021",16.41,15.12,0,0,0,0.01,1.1,0,0,0,0,0,0.16,0,0
"16","SP-3514304-E38873C4DAD844C4A55E38065E51B3A4","SP",3514304,"2021",0,0,0,0.26,0,0.01,5.48,0,0,0,0,0.58,0,0.82,0
"17","SP-3526704-FFD62FDD71114C779838FBA022BC44AD","SP",3526704,"2021",1.84,0,0,0,0,0,1.84,0,0,0,0,0,0,0,0
"18","SP-3534500-8C4F9508987F48928222AB44CF6B5A0C","SP",3534500,"2021",24.14,18.88,0,0,0,3.13,2.14,0,0,0,0,0,0,0,0
"19","SP-3537800-B49DB6909A7047CA8A0DDE44FD52C62D","SP",3537800,"2021",9.2,7.02,0,0,0,0,0.48,0,0,0,1.69,0,0,0,0
"20","SP-3539301-4738C6121E6C4CA0AB6A8A33CC9CC744","SP",3539301,"2021",1.85,1.68,0,0,0,0,0.17,0,0,0,0,0,0,0,0
"21","SP-3540705-64BAC6ABA08A4AAF869A0EB2348D33F3","SP",3540705,"2021",0,0,0,0,0,0,4.6,0,0.07,0,0,0.14,0,0,0
"22","SP-3540705-EBF4F4B7DE9B4892BA739C8A98D7EB18","SP",3540705,"2021",0,6.13,0,1.22,0,0,5.79,79.64,0,0,10.34,11.34,0,0,0
"23","SP-3546207-4520AB75C8084D07AF4CC3CE01F95683","SP",3546207,"2021",0,0.75,0,0,0,12.98,23.43,0.07,0,0,0,0,0,0,0
"24","SP-3547502-1D52C017E021417EA2B8212E48CA52EB","SP",3547502,"2021",6.88,2.22,0,0,0,0,4.61,0,0,0,0,0.05,0,0,0
"25","SP-3547502-8FCCFE5E3B60415DBA36D6A3A25E5CF3","SP",3547502,"2021",58.25,57.6,0,0,0,0,0.66,0,0,0,0,0,0,0,0
"26","SP-3547601-61178038AA0B4426B3469698E7D73181","SP",3547601,"2021",21.38,2.09,0,0,0,4,14.54,0,0,0.74,0,0,0,0,0
"27","SP-3550902-CCC8C5364F52479B99323FF4F571D7D5","SP",3550902,"2021",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"28","SP-3554003-8D5D8D3487BF4B45B86E700AAE949C20","SP",3554003,"2021",5.96,3.49,0,0,0,0,2.2,0.27,0,0,0,0,0,0,0
"29","SP-3554201-F56E782D187F41CB91E3E0CBAE2067F0","SP",3554201,"2021",37.9,8.89,0,2.61,0,10.26,15.95,0.04,0,0,0,0,0,0,0.15
