"","fcar","situacao","uf","munic","code","NUMREGCAR"
"1","PR-4120309-00BFD2A50C894040B73B7EA74CC80072","AT","PR","4120309","00BFD2A50C894040B73B7EA74CC80072","PR412030900BFD2A50C894040B73B7EA74CC80072"
"2","PR-4120309-C6B685D95FD6450C9B344650A67496E9","AT","PR","4120309","C6B685D95FD6450C9B344650A67496E9","PR4120309C6B685D95FD6450C9B344650A67496E9"
"3","PR-4120309-EC080C2DEAFB413DAFB1583ADDC5B789","AT","PR","4120309","EC080C2DEAFB413DAFB1583ADDC5B789","PR4120309EC080C2DEAFB413DAFB1583ADDC5B789"
"4","PR-4120309-2917CF7F3F354C97A8EAC8FD2C9569F5","AT","PR","4120309","2917CF7F3F354C97A8EAC8FD2C9569F5","PR41203092917CF7F3F354C97A8EAC8FD2C9569F5"
"5","PR-4120309-CAB0EA3B2BC24157BEFC31A5A02EA168","AT","PR","4120309","CAB0EA3B2BC24157BEFC31A5A02EA168","PR4120309CAB0EA3B2BC24157BEFC31A5A02EA168"
"6","PR-4120309-AFF5EA2C4FFE4BFEA0FD03A37A101431","AT","PR","4120309","AFF5EA2C4FFE4BFEA0FD03A37A101431","PR4120309AFF5EA2C4FFE4BFEA0FD03A37A101431"
"7","PR-4120309-53961E789EB8499186F08D3F84134473","AT","PR","4120309","53961E789EB8499186F08D3F84134473","PR412030953961E789EB8499186F08D3F84134473"
"8","PR-4120309-88147E31DC6E4AE6935024D6FFB41E7B","AT","PR","4120309","88147E31DC6E4AE6935024D6FFB41E7B","PR412030988147E31DC6E4AE6935024D6FFB41E7B"
"9","PR-4120309-78ABE03BA2114A6CA992D78584025132","AT","PR","4120309","78ABE03BA2114A6CA992D78584025132","PR412030978ABE03BA2114A6CA992D78584025132"
"10","PR-4120309-77873950B8684AE7AA6AA9907B5C34E0","AT","PR","4120309","77873950B8684AE7AA6AA9907B5C34E0","PR412030977873950B8684AE7AA6AA9907B5C34E0"
