"","munic","Processado","Status"
"1","5300108","Sim","CAR encontrado"
"2","5222302","Sim","CAR encontrado"
"3","5222203","Sim","CAR encontrado"
"4","5222054","Sim","CAR encontrado"
"5","5222005","Sim","CAR encontrado"
"6","5221908","Sim","CAR encontrado"
"7","5221858","Sim","CAR encontrado"
"8","5221809","Sim","CAR encontrado"
"9","5221700","Sim","CAR encontrado"
"10","5221601","Sim","CAR encontrado"
"11","5221577","Sim","CAR encontrado"
"12","5221551","Sim","CAR encontrado"
"13","5221502","Sim","CAR encontrado"
"14","5221452","Sim","CAR encontrado"
"15","5221403","Sim","CAR encontrado"
"16","5221304","Sim","CAR encontrado"
"17","5221197","Sim","CAR encontrado"
"18","5221080","Sim","CAR encontrado"
"19","5221007","Sim","CAR encontrado"
"20","5220702","Sim","CAR encontrado"
"21","5220686","Sim","CAR encontrado"
"22","5220603","Sim","CAR encontrado"
"23","5220504","Sim","CAR encontrado"
"24","5220454","Sim","CAR encontrado"
"25","5220405","Sim","CAR encontrado"
"26","5220280","Sim","CAR encontrado"
"27","5220264","Sim","CAR encontrado"
"28","5220207","Sim","CAR encontrado"
"29","5220157","Sim","CAR encontrado"
"30","5220108","Sim","CAR encontrado"
"31","5220009","Sim","CAR encontrado"
"32","5220058","Sim","CAR encontrado"
"33","5219902","Sim","CAR encontrado"
"34","5219803","Sim","CAR encontrado"
"35","5219753","Sim","CAR encontrado"
"36","5219738","Sim","CAR encontrado"
"37","5219712","Sim","CAR encontrado"
"38","5219704","Sim","CAR encontrado"
"39","5219605","Sim","CAR encontrado"
"40","5219506","Sim","CAR encontrado"
"41","5219456","Sim","CAR encontrado"
"42","5219407","Sim","CAR encontrado"
"43","5219357","Sim","CAR encontrado"
"44","5219308","Sim","CAR encontrado"
"45","5219258","Sim","CAR encontrado"
"46","5219209","Sim","CAR encontrado"
"47","5219100","Sim","CAR encontrado"
"48","5219001","Sim","CAR encontrado"
"49","5218904","Sim","CAR encontrado"
"50","5218805","Sim","CAR encontrado"
"51","5218789","Sim","CAR encontrado"
"52","5218706","Sim","CAR encontrado"
"53","5218607","Sim","CAR encontrado"
"54","5218508","Sim","CAR encontrado"
"55","5218391","Sim","CAR encontrado"
"56","5218300","Sim","CAR encontrado"
"57","5218102","Sim","CAR encontrado"
"58","5218052","Sim","CAR encontrado"
"59","5218003","Sim","CAR encontrado"
"60","5217708","Sim","CAR encontrado"
"61","5217609","Sim","CAR encontrado"
"62","5217401","Sim","CAR encontrado"
"63","5217302","Sim","CAR encontrado"
"64","5217203","Sim","CAR encontrado"
"65","5217104","Sim","CAR encontrado"
"66","5216908","Sim","CAR encontrado"
"67","5216809","Sim","CAR encontrado"
"68","5216452","Sim","CAR encontrado"
"69","5216403","Sim","CAR encontrado"
"70","5216304","Sim","CAR encontrado"
"71","5216007","Sim","CAR encontrado"
"72","5215900","Sim","CAR encontrado"
"73","5215801","Sim","CAR encontrado"
"74","5215702","Sim","CAR encontrado"
"75","5215652","Sim","CAR encontrado"
"76","5215603","Sim","CAR encontrado"
"77","5215504","Sim","CAR encontrado"
"78","5215405","Sim","CAR encontrado"
"79","5215306","Sim","CAR encontrado"
"80","5215256","Sim","CAR encontrado"
"81","5215231","Sim","CAR encontrado"
"82","5215207","Sim","CAR encontrado"
"83","5215009","Sim","CAR encontrado"
"84","5214903","Sim","CAR encontrado"
"85","5214879","Sim","CAR encontrado"
"86","5214861","Sim","CAR encontrado"
"87","5214838","Sim","CAR encontrado"
"88","5214804","Sim","CAR encontrado"
"89","5214705","Sim","CAR encontrado"
"90","5214606","Sim","CAR encontrado"
"91","5214507","Sim","CAR encontrado"
"92","5214408","Sim","CAR encontrado"
"93","5214101","Sim","CAR encontrado"
"94","5214051","Sim","CAR encontrado"
"95","5214002","Sim","CAR encontrado"
"96","5213905","Sim","CAR encontrado"
"97","5213855","Sim","CAR encontrado"
"98","5213806","Sim","CAR encontrado"
"99","5213772","Sim","CAR encontrado"
"100","5213756","Sim","CAR encontrado"
"101","5213707","Sim","CAR encontrado"
"102","5213509","Sim","CAR encontrado"
"103","5213400","Sim","CAR encontrado"
"104","5213103","Sim","CAR encontrado"
"105","5213087","Sim","CAR encontrado"
"106","5213053","Sim","CAR encontrado"
"107","5213004","Sim","CAR encontrado"
"108","5212956","Sim","CAR encontrado"
"109","5212907","Sim","CAR encontrado"
"110","5212808","Sim","CAR encontrado"
"111","5212709","Sim","CAR encontrado"
"112","5212600","Sim","CAR encontrado"
"113","5212501","Sim","CAR encontrado"
"114","5212303","Sim","CAR encontrado"
"115","5212253","Sim","CAR encontrado"
"116","5212204","Sim","CAR encontrado"
"117","5212105","Sim","CAR encontrado"
"118","5212055","Sim","CAR encontrado"
"119","5212006","Sim","CAR encontrado"
"120","5211909","Sim","CAR encontrado"
"121","5211800","Sim","CAR encontrado"
"122","5211701","Sim","CAR encontrado"
"123","5211602","Sim","CAR encontrado"
"124","5211503","Sim","CAR encontrado"
"125","5211404","Sim","CAR encontrado"
"126","5211305","Sim","CAR encontrado"
"127","5211206","Sim","CAR encontrado"
"128","5211008","Sim","CAR encontrado"
"129","5210901","Sim","CAR encontrado"
"130","5210802","Sim","CAR encontrado"
"131","5210604","Sim","CAR encontrado"
"132","5210562","Sim","CAR encontrado"
"133","5210406","Sim","CAR encontrado"
"134","5210307","Sim","CAR encontrado"
"135","5210208","Sim","CAR encontrado"
"136","5210158","Sim","CAR encontrado"
"137","5210109","Sim","CAR encontrado"
"138","5210000","Sim","CAR encontrado"
"139","5209952","Sim","CAR encontrado"
"140","5209937","Sim","CAR encontrado"
"141","5209903","Sim","CAR encontrado"
